name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
沼田 七華,5251,女子戦,329,3,1.95,0.9,2.1,6.0,0.21,4.1
沼田 七華,5251,混合戦,167,0,1.73,0.0,0.6,4.1,0.2,4.1
