name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
新開 文夫,2376,1 号艇,672,665,7,0,0,0,0,0
新開 文夫,2376,2 号艇,630,190,431,7,2,0,0,0
新開 文夫,2376,3 号艇,611,188,276,142,4,0,1,0
新開 文夫,2376,4 号艇,579,160,229,94,87,7,2,0
新開 文夫,2376,5 号艇,575,156,218,98,52,48,2,1
新開 文夫,2376,6 号艇,600,150,213,112,58,30,37,0
