name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
新田 芳美,3470,女子戦,3307,796,6.21,24.0,45.3,63.2,0.18,3.0
新田 芳美,3470,混合戦,1824,231,5.04,12.6,28.7,46.9,0.18,3.1
