name,regno,グレード,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST,平均ST順
増田 進,3569,SG,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
増田 進,3569,G1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
増田 進,3569,G2,2,7,3,6.86,42.8,42.8,42.8,0,0,0.16,2.7
増田 進,3569,G3,24,211,12,4.21,5.6,20.3,33.6,0,0,0.2,3.7
増田 進,3569,一般,679,5529,528,4.46,9.5,21.9,39.0,10,2,0.2,3.7
増田 進,3569,総合,705,5747,543,4.45,9.4,21.8,38.8,10,2,0.2,3.7
