name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
生方 利宗,2747,1 号艇,107,19,17.7,33.6,51.4,0,0
生方 利宗,2747,2 号艇,109,12,11.0,27.5,45.8,0,0
生方 利宗,2747,3 号艇,111,15,13.5,27.9,40.5,0,0
生方 利宗,2747,4 号艇,113,11,9.7,21.2,41.5,0,0
生方 利宗,2747,5 号艇,103,11,10.6,22.3,41.7,0,0
生方 利宗,2747,6 号艇,111,11,9.9,29.7,43.2,1,0
