position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4504,前田 将太,"1'54""1",1,.11,逃げ,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
２,5,4957,竹之内 極,"1'57""3",5,.22,,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
３,3,4330,奈須 啓太,"2'00""3",3,.12,,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
４,2,4951,新田 洋一,"2'03""4",2,.12,,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
５,4,4423,坂口 貴彦,,4,.14,,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
転,6,3566,川添 英正,,6,.19,,若松,スポーツニッポン杯ＧＷ特選競走,4月27日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220427_9.html
