position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4695,尾崎 雄二,"1'52""4",1,.11,逃げ,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
２,3,4256,渡辺 浩司,"1'54""3",3,.11,,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
３,5,3508,久富 政弘,"1'55""4",5,.18,,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
４,2,5195,北村 寧々,"1'56""1",2,.11,,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
５,6,4917,岩橋 裕馬,,6,.14,,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
６,4,3156,金子 良昭,,4,.15,,若松,サッポロビールカップ,7月28日初日,2,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230728_2.html
