position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4188,久田 敏之,"1'50""6",1,.04,逃げ,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
２,2,4000,松本 博昭,"1'52""0",2,.09,,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
３,4,4798,浜先 真範,"1'53""4",4,.09,,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
４,3,4004,山本 浩輔,"1'54""4",3,.14,,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
５,6,4679,植田 太一,,6,.09,,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
６,5,4978,山田 和佐,,5,.15,,若松,第４０回日本財団会長杯,7月7日３日目,5,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220707_5.html
