position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,3286,坂東 満,"1'51""5",1,.14,逃げ,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
２,6,3662,大庭 元明,"1'53""5",6,.21,,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
３,3,3161,古場 輝義,"1'54""5",3,.19,,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
４,2,3876,中辻 崇人,"1'55""8",2,.31,,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
５,5,3668,市川 猛,,5,.16,,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
６,4,3305,小野 信樹,,4,.21,,若松,マスターズリーグ第６戦九州スポーツ杯,9月26日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230926_3.html
