position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,4,5105,富田 恕生,"1'49""5",4,.19,差し,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
２,2,4329,小松 卓司,"1'50""8",2,.21,,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
３,1,4022,待鳥 雄紀,"1'52""1",1,.24,,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
４,3,3942,寺田 祥,"1'52""9",3,.16,,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
５,6,3983,須藤 博倫,,5,.19,,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
６,5,3992,関口 智久,,6,.21,,若松,日本トーター杯ＢＴＳ北九州ＭＤ開設１７周年記念競走,5月24日２日目,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230524_11.html
