position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,3,4123,細川 裕子,"1'13""3",3,.29,まくり差し,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
２,4,3188,日高 逸子,"1'14""4",4,.27,,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
３,1,4678,水野 望美,"1'14""5",1,.29,,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
４,6,3551,藤田 美代,"1'14""5",6,.31,,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
５,2,4447,深川 麻奈美,,2,.36,,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
６,5,3518,倉田 郁美,,5,.41,,若松,公営レーシングプレス杯 男女Ｗ優勝戦,2月1日初日,10,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220201_10.html
