position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,2,3946,赤岩 善生,"1'48""6",2,.17,差し,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
２,1,4383,竹田 吉行,"1'51""6",1,.25,,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
３,5,4319,三宅 潤,"1'52""2",5,.19,,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
４,3,4133,高橋 正男,"1'52""9",3,.13,,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
５,6,3843,上之 晃弘,,6,.22,,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
６,4,3523,寳田 亮治,,4,.24,,若松,シャボン玉石けん杯,4月1日初日,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220401_3.html
