position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4049,荒川 健太,"1'49""9",1,.12,逃げ,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
２,3,4435,服部 達哉,"1'51""0",3,.14,,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
３,2,4458,抹香 雄三,"1'51""5",2,.16,,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
４,6,4073,大橋 純一郎,"1'53""0",6,.17,,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
５,4,3505,山田 竜一,,4,.15,,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
６,5,4912,中山 将太,,5,.14,,若松,かぐや様は告らせ杯,11月27日初日,11,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20221127_11.html
