position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,2,3743,林 美憲,"1'52""3",2,.16,差し,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
２,1,4016,西川 新太郎,"1'53""8",1,.14,,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
３,3,4218,吉川 喜継,"1'55""3",3,.17,,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
４,6,3327,野長瀬 正孝,"1'56""4",6,.18,,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
５,5,5025,粟田 祥,,5,.32,,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
６,4,4339,平瀬 城啓,,4,.21,,若松,ミッドナイトレース３ｒｄマンスリーＢＯＡＴＲＡＣＥ,6月10日４日目,9,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230610_9.html
