position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4427,秦 英悟,"1'48""7",1,.13,逃げ,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
２,5,5017,澤田 尚也,"1'49""2",5,.11,,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
３,2,3556,田中 信一郎,"1'50""5",2,.19,,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
４,3,3257,田頭 実,"1'51""1",3,.17,,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
５,6,4216,星 栄爾,,6,.18,,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
６,4,4967,中村 魁生,,4,.11,,若松,ギラヴァンツ北九州杯,5月18日最終日,12,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220518_12.html
