position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,3564,桑原 啓,"1'51""4",1,.14,逃げ,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
２,2,4336,松田 竜馬,"1'52""6",2,.16,,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
３,3,4632,長尾 京志郎,"1'54""2",3,.09,,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
４,6,4614,石倉 洋行,"1'55""9",6,.05,,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
５,5,3662,大庭 元明,,5,.05,,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
６,4,5031,渡辺 空依,,4,.03,,若松,若松夜王Ｓ第１戦ソフトバンクホークス杯県内選手権,6月20日２日目,3,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20220620_3.html
