position_txt,lane,racer_no,racer_name,time,course,st_time,tactic,stadium,race_title,date_label,race_no,source_file
１,1,4573,佐藤 翼,"1'48""1",1,.16,逃げ,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
２,2,4586,磯部 誠,"1'49""7",2,.15,,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
３,3,3568,木村 光宏,"1'52""4",3,.21,,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
４,5,5152,丸山 祐也,"1'53""5",5,.23,,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
５,4,5033,藤原 孝斗,,4,.20,,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
６,6,3482,金子 猛志,,6,.26,,若松,サンケイスポーツ杯,2月22日２日目,8,download/wakamatsu_off_raceresult_html_2223/wakamatsu_raceresult_20_20230222_8.html
