boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,4043,桐本康臣,44,A2,A1,A1,A2,51,,0,0,6.48,45.79,68.22,33,16,24,107,11,5,7,30,13,25.58,41.86,6,5,7,43,52,34.68,59.54,22,38,43,173,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
2,3502,渡邉英児,54,A2,A2,A2,A2,51,,0,0,5.26,38.74,50.45,20,23,13,111,7,6,2,28,37,44.44,66.67,8,12,10,45,14,38.89,55.56,38,25,27,162,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
3,4465,大西　賢,37,B1,B1,B1,B1,47,,1,0,3.85,19.18,32.88,3,11,10,73,0,4,2,17,15,23.81,35.71,5,5,5,42,15,37.65,51.85,35,26,23,162,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
4,4811,向井田佑,34,A2,B1,B1,A2,50,,0,0,5.14,32.08,50.94,18,16,20,106,6,7,3,26,14,15.38,33.33,1,5,7,39,31,29.85,47.76,17,23,24,134,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
5,4314,青木幸太,39,B1,A2,B1,B1,50,,0,0,5.29,35.71,48.81,19,11,11,84,14,12,13,69,49,38.3,53.19,9,9,7,47,59,37.82,52.56,29,30,23,156,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
6,4871,菊池宏志,31,B1,B1,B2,B1,43,,0,0,3.87,15.49,33.8,4,7,13,71,1,1,1,8,2,45.24,57.14,9,10,5,42,72,39.75,54.66,39,25,24,161,download/wakamatsu_person_html/wakamatsu_person_20_20240211.html
