boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,4027,松江秀徳,46,A2,A2,A2,A2,50,,0,0,5.13,28.75,48.75,13,10,16,80,5,4,9,34,44,31.03,41.38,6,3,3,29,22,34.18,51.9,33,21,28,158,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
2,4954,内山峻輔,29,B1,A2,B1,B1,49,,0,0,5.59,38.24,55.88,16,23,18,102,4,2,1,14,34,47.37,60.53,10,8,5,38,38,33.33,48.08,23,29,23,156,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
3,5169,堀本翔太,23,B1,B1,B2,B1,42,,0,0,3.56,7.55,32.08,2,2,13,53,0,2,2,11,32,29.17,50.0,4,3,5,24,25,42.21,53.9,29,36,18,154,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
4,4976,金山立樹,30,B1,B1,B1,B1,45,,0,0,4.55,24.1,50.6,12,8,22,83,0,1,3,11,43,40.48,57.14,8,9,7,42,32,23.53,41.18,19,13,24,136,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
5,3576,白水勝也,51,A1,A1,A1,A1,52,,0,0,5.73,34.67,57.33,14,12,17,75,27,16,17,89,48,54.35,67.39,10,15,6,46,31,29.92,48.82,16,22,24,127,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
6,3939,渡辺真至,46,A2,A2,A2,A2,52,,0,0,6.04,41.77,62.03,14,19,16,79,5,7,8,35,54,33.33,52.08,7,9,9,48,17,25.87,46.85,15,22,30,143,download/wakamatsu_person_html/wakamatsu_person_20_20240202.html
