boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,5256,中山翔太,21,A2,A2,B1,B1,51,,0,0,6.31,46.53,65.35,30,17,19,101,0,0,0,0,32,36.57,50.75,26,23,19,134,26,38.1,71.43,1,7,7,21,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
2,5301,岩下巧斗,22,B1,B1,B1,B1,42,,0,0,3.27,7.96,23.89,5,4,18,113,0,0,0,0,19,27.46,40.85,19,20,19,142,29,47.62,57.14,7,3,2,21,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
3,5257,西丸侑太,21,A2,A2,B1,B1,54,,0,0,6.23,42.31,65.38,26,29,30,130,4,3,3,25,6,42.11,60.15,31,25,24,133,37,25.0,35.0,2,3,2,20,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
4,5104,山田　丈,26,A2,A2,B2,A2,52,,0,0,6.31,44.78,64.93,36,24,27,134,29,38,33,175,2,28.35,41.73,13,23,17,127,60,36.36,68.18,6,2,7,22,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
5,5134,大原祥昌,25,B1,B1,B1,B1,52,,1,0,5.41,35.45,51.82,21,18,18,110,1,3,2,8,35,29.92,48.82,19,19,24,127,39,45.0,70.0,5,4,5,20,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
6,5137,川原　涼,25,B1,B1,B1,B1,50,,1,0,5.35,35.78,49.54,22,17,15,109,0,0,0,0,44,29.17,49.17,17,18,24,120,48,19.05,38.1,0,4,4,21,download/wakamatsu_person_html/wakamatsu_person_20_20250630.html
