boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,4505,島田賢人,35,A1,A1,A2,B1,53,,0,0,6.67,51.33,63.72,35,23,14,113,2,4,6,18,33,37.5,51.56,16,8,9,64,22,39.11,55.87,43,27,30,179,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
2,3912,川原正明,50,B1,B1,B1,B1,47,,0,0,5.16,39.71,47.06,13,14,5,68,0,0,0,0,41,48.44,60.94,19,12,8,64,56,33.33,53.01,33,28,36,183,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
3,4183,宇野弥生,37,A2,A1,A2,A2,52,,0,0,5.95,42.98,53.72,36,16,13,121,6,2,4,21,44,40.68,55.93,15,9,9,59,51,30.48,51.34,31,26,39,187,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
4,3618,海野ゆか,50,A1,A2,A1,A1,55,,0,0,6.89,49.15,67.8,40,18,22,118,8,1,3,20,22,39.66,56.9,12,11,10,58,41,36.42,52.02,34,29,27,173,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
5,3484,芝田浩治,52,A2,A1,A1,A2,53,,0,0,5.91,42.98,61.4,26,23,21,114,2,1,1,8,56,50.0,76.79,17,11,15,56,63,36.72,53.67,32,33,30,177,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
6,4028,田村隆信,45,A1,A1,A1,A1,68,,0,0,6.78,46.39,65.98,26,19,19,97,10,9,6,40,49,39.44,54.93,15,13,11,71,31,29.56,49.06,20,27,31,159,download/wakamatsu_person_html/wakamatsu_person_20_20240307.html
