boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,5015,高橋竜矢,26,A2,A2,A1,A1,55,,0,0,6.81,55.14,67.29,31,28,13,107,9,5,7,28,58,50.0,62.5,1,3,1,8,44,47.86,58.97,25,31,13,117,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
2,3878,胡本悟志,47,B1,B1,B1,B1,45,,0,0,3.58,15.09,28.3,3,5,7,53,1,1,9,27,9,22.22,33.33,1,1,1,9,15,25.44,43.86,14,15,21,114,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
3,4384,鶴本崇文,39,A2,A2,A1,A1,50,,0,0,6.1,41.82,68.18,21,25,29,110,0,0,0,0,44,22.22,33.33,1,1,1,9,70,37.93,52.59,21,23,17,116,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
4,5266,石田勇斗,24,B1,B1,B2,B2,40,,0,0,2.84,12.16,18.92,5,4,5,74,0,0,0,0,32,44.44,66.67,4,0,2,9,59,31.48,47.22,11,23,17,108,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
5,3747,國崎良春,49,A2,A2,A2,A2,50,,0,0,5.14,31.4,49.59,21,17,22,121,6,4,6,30,6,40.0,60.0,4,2,3,15,57,27.97,49.15,18,15,25,118,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
6,4324,海野康志,36,A1,A1,A1,A1,58,,0,0,7.22,55.4,76.26,40,37,29,139,0,0,0,0,57,45.0,70.0,5,4,5,20,39,42.98,59.65,24,25,19,114,download/wakamatsu_person_html/wakamatsu_person_20_20241214.html
