boat_no,reg_no,name,age,class_now,class_hist1,class_hist2,class_hist3,ability_now,ability_prev,F_now,L_now,winrate_natl,2in_natl,3in_natl,nat_1st,nat_2nd,nat_3rd,nat_starts,loc_1st,loc_2nd,loc_3rd,loc_starts,motor_no,motor_2in,motor_3in,mot_1st,mot_2nd,mot_3rd,mot_starts,boat_no_hw,boat_2in,boat_3in,boa_1st,boa_2nd,boa_3rd,boa_starts,source_file
1,4195,前川守嗣,41,A2,A2,A2,B1,48,,0,0,4.8,36.0,42.67,10,17,5,75,7,7,4,43,5,40.74,51.85,5,6,3,27,55,36.11,52.78,29,23,24,144,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
2,4046,谷村啓司,44,B1,B1,B1,B1,44,,0,0,3.6,9.72,20.83,3,4,8,72,11,11,14,89,36,50.0,58.33,8,4,2,24,18,38.81,55.22,33,19,22,134,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
3,4079,出畑孝典,45,A2,A2,A2,A1,52,,0,0,6.34,42.61,66.09,26,23,27,115,18,17,13,75,16,67.86,78.57,12,7,3,28,74,32.89,49.66,26,23,25,149,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
4,4100,松田隆司,44,B1,B1,A2,A2,51,,1,0,5.48,38.78,58.16,18,20,19,98,11,8,18,65,21,59.26,66.67,6,10,2,27,27,37.66,50.0,31,27,19,154,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
5,4371,西山貴浩,36,A1,A1,A1,A1,67,,0,0,6.82,38.89,62.04,21,21,25,108,41,30,21,124,41,52.94,55.88,10,8,1,34,33,39.47,59.21,26,34,30,152,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
6,4252,松下哲也,40,B1,B1,B1,B1,47,,0,0,4.5,29.23,44.62,7,12,10,65,10,10,12,64,19,26.09,47.83,2,4,5,23,22,34.69,53.06,31,20,27,147,download/wakamatsu_person_html/wakamatsu_person_20_20240101.html
