race_index,true_order,perm_probs,match_index,_tuple0,key0,key1,race_key,odds
0,"[3, 0, 5]","[((3, 5, 0), 0.20820140838623047), ((3, 0, 5), 0.19562627375125885), ((3, 5, 4), 0.049541786313056946), ((5, 3, 0), 0.04937504976987839), ((0, 3, 5), 0.04598195478320122)]",2,"(3, 0, 5)",3-0-5,4-1-6,若松_20250421_1,37.5
120,"[1, 0, 3]","[((1, 4, 2), 0.10549205541610718), ((1, 2, 4), 0.0992719829082489), ((1, 4, 0), 0.06405080854892731), ((1, 2, 0), 0.0529203936457634), ((1, 0, 4), 0.05166278034448624)]",17,"(1, 0, 3)",1-0-3,2-1-4,若松_20250421_10,86.2
240,"[0, 1, 2]","[((0, 2, 1), 0.3546470105648041), ((0, 1, 2), 0.1377488225698471), ((0, 2, 5), 0.10126659274101257), ((2, 0, 1), 0.08996400237083435), ((0, 2, 3), 0.05333258956670761)]",2,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
360,"[0, 3, 2]","[((0, 2, 1), 0.03544585034251213), ((0, 2, 3), 0.03506467863917351), ((0, 1, 2), 0.03318862244486809), ((0, 3, 2), 0.032719627022743225), ((0, 2, 5), 0.031162159517407417)]",4,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
480,"[0, 2, 4]","[((2, 0, 4), 0.07901965081691742), ((2, 0, 3), 0.06973423808813095), ((2, 0, 5), 0.06324511766433716), ((0, 2, 4), 0.06059442088007927), ((0, 2, 3), 0.05347411707043648)]",4,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
600,"[2, 1, 4]","[((1, 3, 2), 0.15636803209781647), ((1, 2, 3), 0.12822619080543518), ((3, 1, 2), 0.10018948465585709), ((2, 1, 3), 0.07643722742795944), ((1, 3, 4), 0.048455677926540375)]",13,"(2, 1, 4)",2-1-4,3-2-5,若松_20250421_3,201.4
720,"[0, 3, 2]","[((0, 2, 3), 0.18951931595802307), ((0, 3, 2), 0.10196685791015625), ((2, 0, 3), 0.08755441755056381), ((0, 2, 4), 0.07582009583711624), ((0, 2, 5), 0.0517130121588707)]",2,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
840,"[0, 3, 2]","[((0, 3, 2), 0.07936739921569824), ((0, 2, 3), 0.0678548514842987), ((3, 0, 2), 0.05936836451292038), ((0, 3, 1), 0.05690639466047287), ((2, 0, 3), 0.04712744802236557)]",1,"(0, 3, 2)",0-3-2,1-4-3,若松_20250421_12,26.0
960,"[4, 2, 5]","[((5, 1, 2), 0.05639569088816643), ((5, 2, 1), 0.053429894149303436), ((1, 5, 2), 0.04648395627737045), ((2, 5, 1), 0.04275128245353699), ((1, 2, 5), 0.03370140492916107)]",59,"(4, 2, 5)",4-2-5,5-3-6,若松_20250421_6,120.1
1080,"[0, 5, 3]","[((0, 1, 2), 0.0709076076745987), ((0, 2, 1), 0.06429431587457657), ((1, 0, 2), 0.04907770827412605), ((0, 1, 5), 0.04695761576294899), ((2, 0, 1), 0.042548101395368576)]",24,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
1200,"[0, 3, 1]","[((0, 3, 1), 0.20816592872142792), ((0, 3, 2), 0.1665898710489273), ((0, 1, 3), 0.09569522738456726), ((0, 2, 3), 0.07363779842853546), ((3, 0, 1), 0.054478567093610764)]",1,"(0, 3, 1)",0-3-1,1-4-2,若松_20250421_8,9.4
