lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4347,,43.5kg,3.5,6.73,-0.5,/racerphoto/4347.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,.29,1
2,3435,,45.5kg,1.5,6.77,-0.5,/racerphoto/3435.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,.25,2
3,4304,,48.7kg,0.0,6.79,-0.5,/racerphoto/4304.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,.38,3
4,4678,,46.0kg,1.0,6.79,-0.5,/racerphoto/4678.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,.01,4
5,4349,,47.6kg,0.0,6.76,-0.5,/racerphoto/4349.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,F.05,5
6,3175,,48.0kg,0.0,6.76,0.0,/racerphoto/3175.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220205_10.html,F.05,6
