lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,5050,,52.0kg,0.0,6.80,-0.5,/racerphoto/5050.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,F.06,1
2,4406,,51.0kg,1.0,6.87,-0.5,/racerphoto/4406.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,.18,2
3,3338,,53.1kg,0.0,6.99,0.0,/racerphoto/3338.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,.01,3
4,3731,,52.9kg,0.0,6.85,0.0,/racerphoto/3731.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,F.11,4
5,3815,,54.2kg,0.0,6.92,0.0,/racerphoto/3815.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,F.03,5
6,5212,,55.7kg,0.0,6.84,0.0,/racerphoto/5212.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220429_2.html,F.06,6
