lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4765,,51.3kg,0.0,6.81,-0.5,/racerphoto/4765.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,.14,1
2,4313,,49.0kg,0.0,6.77,-0.5,/racerphoto/4313.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,.14,2
3,3604,,48.1kg,0.0,6.79,-0.5,/racerphoto/3604.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,.07,3
4,4961,,45.5kg,1.5,6.72,-0.5,/racerphoto/4961.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,.06,4
5,4938,,47.0kg,0.0,6.78,-0.5,/racerphoto/4938.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,F.01,5
6,5281,,46.0kg,1.0,6.78,-0.5,/racerphoto/5281.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230515_3.html,.05,6
