lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4893,,47.1kg,0.0,6.82,-0.5,/racerphoto/4893.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.18,1
2,5155,,46.5kg,0.5,6.90,-0.5,/racerphoto/5155.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.31,2
3,5069,,45.0kg,2.0,6.81,-0.5,/racerphoto/5069.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.24,3
4,3334,,45.5kg,1.5,6.90,-0.5,/racerphoto/3334.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.18,4
5,3993,,48.0kg,0.0,6.85,-0.5,/racerphoto/3993.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.14,5
6,5227,,47.7kg,0.0,6.85,-0.5,/racerphoto/5227.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220526_4.html,.25,6
