lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4693,,52.0kg,0.0,6.84,0.0,/racerphoto/4693.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.06,1
2,4558,,52.0kg,0.0,6.84,-0.5,/racerphoto/4558.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.05,2
3,3875,,52.0kg,0.0,6.92,-0.5,/racerphoto/3875.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.18,3
4,4743,,52.1kg,0.0,6.86,-0.5,/racerphoto/4743.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.13,4
5,3898,,53.2kg,0.0,6.91,0.0,/racerphoto/3898.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.11,5
6,5203,,45.5kg,0.0,6.84,0.0,/racerphoto/5203.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20220714_3.html,.09,6
