lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,5092,,52.0kg,0.0,6.90,-0.5,/racerphoto/5092.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,.03,1
2,5095,,52.0kg,0.0,6.93,-0.5,/racerphoto/5095.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,.03,2
3,5104,,52.0kg,0.0,6.93,-0.5,/racerphoto/5104.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,F.09,3
4,5166,,50.5kg,1.5,6.92,-0.5,/racerphoto/5166.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,F.16,4
5,5093,,51.0kg,1.0,6.92,-0.5,/racerphoto/5093.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,.08,5
6,4931,,52.2kg,0.0,6.92,0.0,/racerphoto/4931.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230822_10.html,.08,6
