lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4936,,46.5kg,0.5,6.74,-0.5,/racerphoto/4936.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.04,1
2,3802,,47.0kg,0.0,6.85,-0.5,/racerphoto/3802.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.06,2
3,4443,,48.8kg,0.0,6.81,-0.5,/racerphoto/4443.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.02,3
4,5057,,45.0kg,2.0,6.76,-0.5,/racerphoto/5057.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.16,4
5,5198,,45.5kg,1.5,6.71,-0.5,/racerphoto/5198.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.01,5
6,5227,,47.9kg,0.0,6.74,-0.5,/racerphoto/5227.jpg,download/wakamatsu_off_beforeinfo_html_2223/wakamatsu_beforeinfo_20_20230512_5.html,.22,6
