stadium,equip_type,start_date,next_start_date,note
若 松,boat,2022-06-13,,
若 松,boat,2023-05-23,,
若 松,boat,2025-06-03,,
若 松,boat,2025-06-03,,
若 松,motor,2021-11-05,2022-11-14,若松モーター使用開始（記事・2021/11/05）。
若 松,motor,2022-11-14,2023-11-17,若松モーター使用開始（2023/01記事に明記）。
若 松,motor,2023-11-17,2024-11-25,若松モーター使用開始（特集ページに記載）。
若 松,motor,2024-11-25,,若松公式モーターデータ「現モーターの使用開始：2024/11/25」。
