登番,名前,読み,性別,養成期,25後期,25前期,24後期,24前期,23後期,23前期,22後期,22前期,21後期,21前期,20後期,20前期,19後期,19前期,18後期,18前期,17後期,17前期,16後期,16前期,15後期,15前期,14後期,14前期,13後期,13前期,12後期,12前期,11後期,11前期,10後期,10前期,09後期,09前期,08後期,08前期,07後期,07前期,06後期,06前期,05後期,05前期,04後期,04前期,03後期,03前期,02後期,02前期,01後期,01前期,00後期
1370,小澤成吉,オザワ　セイキチ,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1
1481,北原友次,キタハラ　トモツグ,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2
1485,加藤峻二,カトウ　シユンジ,1,5,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A1,A2,A2,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1
1531,井上弘,イノウエ　ヒロシ,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1
1620,星野幸正,ホシノ　ユキマサ,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B2,B2,B1
1629,須藤経夫,スドウ　ツネオ,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,A2,B1,B1
1643,武田章,タケダ　アキラ,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,A2,B1,A2,A2,B1,A2,A2
1670,岩口昭三,イワグチ　シヨウゾウ,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B1,A2,A1,A1,A1,A1,A1,A1,A1,A1
1710,万谷章,マンタニ　アキラ,1,13,,,,,,,,,,,,,,,,,,,,,,,,B1,B1,B1,B1,B1,A2,A2,A2,B1,A2,B1,A2,A2,A2,A2,A1,A2,A2,B1,A2,A2,A2,A2,A1,A2,A2,A1,A1
1738,松本進,マツモト　ススム,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2,B2
