lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,3912,,52.5kg,0.0,6.84,0.0,/racerphoto/3912.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.22,1
2,3953,,52.4kg,0.0,6.95,-0.5,/racerphoto/3953.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.18,2
3,4365,,52.0kg,0.5,6.82,0.5,/racerphoto/4365.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.18,3
4,5188,,46.0kg,0.0,6.79,0.0,/racerphoto/5188.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.13,4
5,3997,,51.5kg,0.5,6.92,-0.5,/racerphoto/3997.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.13,5
6,4183,,47.4kg,0.0,6.88,-0.5,/racerphoto/4183.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240304_6.html,.08,6
