lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,3294,,52.7kg,0.0,6.83,0.0,/racerphoto/3294.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,.23,1
2,3619,,52.7kg,0.0,6.87,-0.5,/racerphoto/3619.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,F.03,2
3,5029,,52.0kg,0.0,6.87,-0.5,/racerphoto/5029.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,.18,3
4,5282,,52.0kg,0.0,6.87,0.0,/racerphoto/5282.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,F.05,5
5,4382,,54.7kg,0.0,6.96,0.0,/racerphoto/4382.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,F.14,4
6,4961,,47.0kg,0.0,6.82,-0.5,/racerphoto/4961.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240730_4.html,F.11,6
