lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4447,,49.0kg,0.0,7.01,-0.5,/racerphoto/4447.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.06,1
2,4117,,46.0kg,1.0,6.99,-0.5,/racerphoto/4117.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.12,2
3,3611,,47.1kg,0.0,7.01,-0.5,/racerphoto/3611.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.05,3
4,4765,,51.1kg,0.0,7.02,-0.5,/racerphoto/4765.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.24,4
5,4611,,49.2kg,0.0,6.96,-0.5,/racerphoto/4611.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.09,5
6,3604,,47.4kg,0.0,7.03,0.0,/racerphoto/3604.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20240523_10.html,.04,6
