lane,racer_id,name,weight,adjust_weight,exhibition_time,tilt,photo,source_file,ST,course
1,4288,,52.3kg,0.0,6.76,0.0,/racerphoto/4288.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,F.04,1
2,4911,,52.3kg,0.0,6.83,-0.5,/racerphoto/4911.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,F.01,2
3,4431,,52.0kg,0.0,6.80,0.0,/racerphoto/4431.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,.09,3
4,3984,,52.5kg,0.0,6.81,-0.5,/racerphoto/3984.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,.17,4
5,4633,,51.0kg,1.0,6.78,-0.5,/racerphoto/4633.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,.06,5
6,4273,,52.1kg,0.0,6.81,-0.5,/racerphoto/4273.jpg,download/wakamatsu_off_beforeinfo_html/wakamatsu_beforeinfo_20_20241107_12.html,.18,6
