1,池上 隆行,池上 隆行.1,2,今出 晋二,今出 晋二.1,3,加藤 翔,加藤 翔.1,4,池田 雄一,池田 雄一.1,5,立間 充宏,立間 充宏.1,6,藤森 拓海,藤森 拓海.1
2.0,3.0,48.3,1.0,3.0,108.6,1.0,2.0,164.0,1.0,2.0,43.4,1.0,2.0,90.6,1.0,2.0,986.1
2.0,4.0,28.2,1.0,4.0,56.6,1.0,4.0,75.6,1.0,3.0,53.4,1.0,3.0,82.0,1.0,3.0,1649.0
2.0,5.0,42.4,1.0,5.0,63.1,1.0,5.0,86.4,1.0,5.0,12.9,1.0,4.0,36.6,1.0,4.0,1851.0
2.0,6.0,328.7,1.0,6.0,504.0,1.0,6.0,465.2,1.0,6.0,193.8,1.0,6.0,254.1,1.0,5.0,1930.0
3.0,2.0,51.4,3.0,1.0,186.2,2.0,1.0,210.9,2.0,1.0,63.0,2.0,1.0,132.4,2.0,1.0,2109.0
3.0,4.0,23.6,3.0,4.0,113.8,2.0,4.0,130.1,2.0,3.0,98.8,2.0,3.0,183.2,2.0,3.0,3128.0
3.0,5.0,33.8,3.0,5.0,133.2,2.0,5.0,175.1,2.0,5.0,35.3,2.0,4.0,79.3,2.0,4.0,2326.0
3.0,6.0,259.9,3.0,6.0,731.6,2.0,6.0,810.0,2.0,6.0,241.2,2.0,6.0,373.3,2.0,5.0,2160.0
4.0,2.0,27.1,4.0,1.0,73.0,4.0,1.0,87.6,3.0,1.0,74.6,3.0,1.0,143.5,3.0,1.0,2835.0
4.0,3.0,25.5,4.0,3.0,105.9,4.0,2.0,116.3,3.0,2.0,104.6,3.0,2.0,227.9,3.0,2.0,5040.0
4.0,5.0,14.7,4.0,5.0,47.9,4.0,5.0,59.4,3.0,5.0,46.5,3.0,4.0,94.0,3.0,4.0,3128.0
4.0,6.0,205.2,4.0,6.0,360.0,4.0,6.0,449.1,3.0,6.0,367.3,3.0,6.0,524.4,3.0,5.0,4123.0
5.0,2.0,47.6,5.0,1.0,101.7,5.0,1.0,125.6,5.0,1.0,13.1,4.0,1.0,25.2,4.0,1.0,2387.0
5.0,3.0,41.5,5.0,3.0,148.2,5.0,2.0,184.7,5.0,2.0,19.9,4.0,2.0,39.6,4.0,2.0,2387.0
5.0,4.0,22.7,5.0,4.0,65.8,5.0,4.0,82.4,5.0,3.0,25.6,4.0,3.0,47.4,4.0,3.0,3780.0
5.0,6.0,278.2,5.0,6.0,462.8,5.0,6.0,574.2,5.0,6.0,58.0,4.0,6.0,108.1,4.0,5.0,1564.0
6.0,2.0,810.0,6.0,1.0,1226.0,6.0,1.0,1354.0,6.0,1.0,495.7,6.0,1.0,546.5,5.0,1.0,2668.0
6.0,3.0,662.2,6.0,3.0,1564.0,6.0,2.0,1930.0,6.0,2.0,662.2,6.0,2.0,1030.0,5.0,2.0,3024.0
6.0,4.0,613.0,6.0,4.0,1277.0,6.0,4.0,1649.0,6.0,3.0,880.8,6.0,3.0,986.1,5.0,3.0,5670.0
6.0,5.0,864.0,6.0,5.0,1354.0,6.0,5.0,1417.0,6.0,5.0,321.7,6.0,4.0,518.4,5.0,4.0,1680.0
