1,吉川 昭男,吉川 昭男.1,2,宇留田　翔平,宇留田　翔平.1,3,鈴木 智啓,鈴木 智啓.1,4,稗田 聖也,稗田 聖也.1,5,大場 広孝,大場 広孝.1,6,下寺 秀和,下寺 秀和.1
2.0,3.0,10.9,1.0,3.0,67.1,1.0,2.0,66.5,1.0,2.0,39.3,1.0,2.0,325.0,1.0,2.0,285.0
2.0,4.0,10.6,1.0,4.0,58.4,1.0,4.0,75.7,1.0,3.0,68.0,1.0,3.0,412.7,1.0,3.0,575.7
2.0,5.0,31.7,1.0,5.0,133.9,1.0,5.0,99.6,1.0,5.0,44.4,1.0,4.0,236.4,1.0,4.0,170.6
2.0,6.0,19.9,1.0,6.0,108.2,1.0,6.0,101.0,1.0,6.0,30.8,1.0,6.0,261.9,1.0,5.0,530.0
3.0,2.0,11.2,3.0,1.0,196.4,2.0,1.0,176.3,2.0,1.0,104.8,2.0,1.0,666.8,2.0,1.0,511.1
3.0,4.0,15.4,3.0,4.0,389.0,2.0,4.0,387.9,2.0,3.0,304.2,2.0,3.0,979.8,2.0,3.0,1203.0
3.0,5.0,26.5,3.0,5.0,701.8,2.0,5.0,507.2,2.0,5.0,238.8,2.0,4.0,917.0,2.0,4.0,867.4
3.0,6.0,23.6,3.0,6.0,635.1,2.0,6.0,454.3,2.0,6.0,151.9,2.0,6.0,934.1,2.0,5.0,1596.0
4.0,2.0,12.3,4.0,1.0,135.9,4.0,1.0,176.8,3.0,1.0,158.3,3.0,1.0,1014.0,3.0,1.0,1068.0
4.0,3.0,21.0,4.0,3.0,403.5,4.0,2.0,331.4,3.0,2.0,269.8,3.0,2.0,1829.0,3.0,2.0,1629.0
4.0,5.0,28.4,4.0,5.0,613.7,4.0,5.0,360.7,3.0,5.0,309.9,3.0,4.0,1609.0,3.0,4.0,1484.0
4.0,6.0,15.1,4.0,6.0,341.0,4.0,6.0,315.0,3.0,6.0,262.2,3.0,6.0,1535.0,3.0,5.0,1954.0
5.0,2.0,64.7,5.0,1.0,551.2,5.0,1.0,380.5,5.0,1.0,56.0,4.0,1.0,207.4,4.0,1.0,214.9
5.0,3.0,73.8,5.0,3.0,1060.0,5.0,2.0,696.9,5.0,2.0,112.7,4.0,2.0,370.7,4.0,2.0,509.2
5.0,4.0,61.8,5.0,4.0,958.7,5.0,4.0,680.3,5.0,3.0,214.8,4.0,3.0,559.7,4.0,3.0,987.0
5.0,6.0,79.1,5.0,6.0,1171.0,5.0,6.0,656.9,5.0,6.0,56.0,4.0,6.0,207.7,4.0,5.0,462.2
6.0,2.0,52.8,6.0,1.0,377.3,6.0,1.0,443.8,6.0,1.0,52.6,6.0,1.0,416.1,5.0,1.0,882.7
6.0,3.0,76.1,6.0,3.0,1225.0,6.0,2.0,822.9,6.0,2.0,111.1,6.0,2.0,673.5,5.0,2.0,1584.0
6.0,4.0,42.6,6.0,4.0,610.9,6.0,4.0,679.2,6.0,3.0,223.7,6.0,3.0,865.5,5.0,3.0,1662.0
6.0,5.0,107.9,6.0,5.0,1457.0,6.0,5.0,845.4,6.0,5.0,75.1,6.0,4.0,364.6,5.0,4.0,642.2
