1,平田 忠則,平田 忠則.1,2,田口 節子,田口 節子.1,3,赤坂 俊輔,赤坂 俊輔.1,4,渡邉 雄朗,渡邉 雄朗.1,5,原田 篤志,原田 篤志.1,6,森野 正弘,森野 正弘.1
2.0,3.0,8.4,1.0,3.0,13.2,1.0,2.0,115.2,1.0,2.0,120.9,1.0,2.0,280.5,1.0,2.0,648.4
2.0,4.0,9.2,1.0,4.0,13.4,1.0,4.0,165.0,1.0,3.0,242.5,1.0,3.0,489.1,1.0,3.0,1292.0
2.0,5.0,16.5,1.0,5.0,23.6,1.0,5.0,172.6,1.0,5.0,196.9,1.0,4.0,499.0,1.0,4.0,1179.0
2.0,6.0,24.8,1.0,6.0,27.2,1.0,6.0,265.7,1.0,6.0,222.6,1.0,6.0,476.4,1.0,5.0,1382.0
3.0,2.0,20.4,3.0,1.0,31.5,2.0,1.0,106.3,2.0,1.0,127.3,2.0,1.0,340.0,2.0,1.0,756.3
3.0,4.0,29.0,3.0,4.0,31.3,2.0,4.0,91.8,2.0,3.0,216.0,2.0,3.0,557.5,2.0,3.0,1505.0
3.0,5.0,42.4,3.0,5.0,41.6,2.0,5.0,112.8,2.0,5.0,172.8,2.0,4.0,427.7,2.0,4.0,974.4
3.0,6.0,66.3,3.0,6.0,54.9,2.0,6.0,140.2,2.0,6.0,183.4,2.0,6.0,483.2,2.0,5.0,1300.0
4.0,2.0,21.4,4.0,1.0,34.7,4.0,1.0,241.8,3.0,1.0,415.1,3.0,1.0,768.5,3.0,1.0,1936.0
4.0,3.0,42.9,4.0,3.0,41.4,4.0,2.0,172.2,3.0,2.0,303.0,3.0,2.0,833.8,3.0,2.0,1843.0
4.0,5.0,48.3,4.0,5.0,51.8,4.0,5.0,262.7,3.0,5.0,500.6,3.0,4.0,1172.0,3.0,4.0,1796.0
4.0,6.0,52.6,4.0,6.0,52.8,4.0,6.0,279.8,3.0,6.0,503.5,3.0,6.0,1327.0,3.0,5.0,2241.0
5.0,2.0,56.8,5.0,1.0,94.4,5.0,1.0,372.5,5.0,1.0,266.2,4.0,1.0,609.8,4.0,1.0,1646.0
5.0,3.0,95.3,5.0,3.0,129.2,5.0,2.0,353.3,5.0,2.0,235.4,4.0,2.0,488.2,4.0,2.0,1163.0
5.0,4.0,104.5,5.0,4.0,127.1,5.0,4.0,452.7,5.0,3.0,536.6,4.0,3.0,1087.0,4.0,3.0,1940.0
5.0,6.0,96.8,5.0,6.0,117.5,5.0,6.0,511.5,5.0,6.0,261.6,4.0,6.0,581.1,4.0,5.0,1727.0
6.0,2.0,115.6,6.0,1.0,136.0,6.0,1.0,815.3,6.0,1.0,451.8,6.0,1.0,1064.0,5.0,1.0,1839.0
6.0,3.0,197.7,6.0,3.0,207.5,6.0,2.0,644.8,6.0,2.0,347.7,6.0,2.0,952.6,5.0,2.0,1705.0
6.0,4.0,181.9,6.0,4.0,156.2,6.0,4.0,644.8,6.0,3.0,784.1,6.0,3.0,1553.0,5.0,3.0,2359.0
6.0,5.0,200.2,6.0,5.0,190.1,6.0,5.0,840.8,6.0,5.0,446.1,6.0,4.0,1081.0,5.0,4.0,1794.0
