1,丸尾 義孝,丸尾 義孝.1,2,佃 來紀,佃 來紀.1,3,梶山 涼斗,梶山 涼斗.1,4,井手 良太,井手 良太.1,5,谷川 将太,谷川 将太.1,6,佐野 優都,佐野 優都.1
2.0,3.0,10.9,1.0,3.0,53.6,1.0,2.0,51.0,1.0,2.0,48.1,1.0,2.0,194.5,1.0,2.0,965.9
2.0,4.0,11.9,1.0,4.0,54.1,1.0,4.0,29.3,1.0,3.0,50.7,1.0,3.0,163.4,1.0,3.0,1088.0
2.0,5.0,22.1,1.0,5.0,75.5,1.0,5.0,39.1,1.0,5.0,51.9,1.0,4.0,149.6,1.0,4.0,1604.0
2.0,6.0,137.2,1.0,6.0,301.7,1.0,6.0,210.3,1.0,6.0,186.2,1.0,6.0,597.6,1.0,5.0,1632.0
3.0,2.0,9.6,3.0,1.0,145.0,2.0,1.0,154.9,2.0,1.0,140.4,2.0,1.0,351.6,2.0,1.0,1306.0
3.0,4.0,6.9,3.0,4.0,296.5,2.0,4.0,231.1,2.0,3.0,275.1,2.0,3.0,766.2,2.0,3.0,1918.0
3.0,5.0,10.2,3.0,5.0,406.4,2.0,5.0,293.7,2.0,5.0,269.2,2.0,4.0,659.4,2.0,4.0,2981.0
3.0,6.0,89.5,3.0,6.0,1306.0,2.0,6.0,933.0,2.0,6.0,710.6,2.0,6.0,1549.0,2.0,5.0,4034.0
4.0,2.0,16.4,4.0,1.0,172.7,4.0,1.0,63.6,3.0,1.0,88.0,3.0,1.0,268.9,3.0,1.0,1306.0
4.0,3.0,12.1,4.0,3.0,336.1,4.0,2.0,192.1,3.0,2.0,232.6,3.0,2.0,779.3,3.0,2.0,1758.0
4.0,5.0,18.1,4.0,5.0,457.2,4.0,5.0,112.2,3.0,5.0,133.7,3.0,4.0,522.5,3.0,4.0,2949.0
4.0,6.0,115.0,4.0,6.0,1466.0,4.0,6.0,528.5,3.0,6.0,582.4,3.0,6.0,1905.0,3.0,5.0,3345.0
5.0,2.0,36.3,5.0,1.0,307.1,5.0,1.0,129.6,5.0,1.0,74.2,4.0,1.0,180.0,4.0,1.0,2177.0
5.0,3.0,27.4,5.0,3.0,699.8,5.0,2.0,374.7,5.0,2.0,171.6,4.0,2.0,430.6,4.0,2.0,3265.0
5.0,4.0,34.2,5.0,4.0,674.0,5.0,4.0,198.2,5.0,3.0,156.5,4.0,3.0,393.0,4.0,3.0,3810.0
5.0,6.0,211.1,5.0,6.0,1987.0,5.0,6.0,823.7,5.0,6.0,328.1,4.0,6.0,868.1,4.0,5.0,3189.0
6.0,2.0,341.2,6.0,1.0,788.2,6.0,1.0,766.2,6.0,1.0,584.9,6.0,1.0,1338.0,5.0,1.0,3386.0
6.0,3.0,345.9,6.0,3.0,2248.0,6.0,2.0,1241.0,6.0,2.0,1019.0,6.0,2.0,2230.0,5.0,2.0,4987.0
6.0,4.0,360.4,6.0,4.0,2663.0,6.0,4.0,1576.0,6.0,3.0,1097.0,6.0,3.0,3305.0,5.0,3.0,3757.0
6.0,5.0,432.6,6.0,5.0,3386.0,6.0,5.0,1725.0,6.0,5.0,772.7,6.0,4.0,2212.0,5.0,4.0,3429.0
