1,山下 和彦,山下 和彦.1,2,大場 広孝,大場 広孝.1,3,堀本 和也,堀本 和也.1,4,清水 紀克,清水 紀克.1,5,山口 隆史,山口 隆史.1,6,竹田 和哉,竹田 和哉.1
2.0,3.0,13.3,1.0,3.0,37.8,1.0,2.0,32.1,1.0,2.0,345.2,1.0,2.0,249.1,1.0,2.0,149.1
2.0,4.0,67.6,1.0,4.0,200.7,1.0,4.0,102.0,1.0,3.0,268.6,1.0,3.0,168.8,1.0,3.0,84.2
2.0,5.0,44.2,1.0,5.0,79.4,1.0,5.0,47.5,1.0,5.0,437.3,1.0,4.0,598.0,1.0,4.0,352.0
2.0,6.0,19.6,1.0,6.0,47.6,1.0,6.0,19.9,1.0,6.0,302.1,1.0,6.0,167.2,1.0,5.0,253.2
3.0,2.0,12.1,3.0,1.0,48.5,2.0,1.0,50.0,2.0,1.0,578.8,2.0,1.0,267.9,2.0,1.0,222.8
3.0,4.0,43.3,3.0,4.0,243.3,2.0,4.0,207.4,2.0,3.0,587.4,2.0,3.0,243.9,2.0,3.0,163.2
3.0,5.0,26.5,3.0,5.0,52.1,2.0,5.0,59.0,2.0,5.0,729.9,2.0,4.0,810.3,2.0,4.0,754.9
3.0,6.0,9.8,3.0,6.0,31.9,2.0,6.0,31.2,2.0,6.0,572.1,2.0,6.0,222.0,2.0,5.0,343.5
4.0,2.0,90.8,4.0,1.0,430.6,4.0,1.0,245.4,3.0,1.0,364.9,3.0,1.0,173.7,3.0,1.0,86.2
4.0,3.0,72.9,4.0,3.0,461.7,4.0,2.0,335.3,3.0,2.0,501.3,3.0,2.0,245.7,3.0,2.0,146.4
4.0,5.0,171.4,4.0,5.0,650.9,4.0,5.0,455.3,3.0,5.0,570.5,3.0,4.0,522.4,3.0,4.0,455.3
4.0,6.0,83.0,4.0,6.0,449.1,4.0,6.0,253.5,3.0,6.0,439.2,3.0,6.0,136.5,3.0,5.0,166.5
5.0,2.0,93.1,5.0,1.0,152.3,5.0,1.0,64.4,5.0,1.0,1007.0,4.0,1.0,1181.0,4.0,1.0,841.2
5.0,3.0,79.8,5.0,3.0,116.2,5.0,2.0,82.9,5.0,2.0,954.5,4.0,2.0,1134.0,4.0,2.0,1061.0
5.0,4.0,212.3,5.0,4.0,559.2,5.0,4.0,252.6,5.0,3.0,914.9,4.0,3.0,992.7,4.0,3.0,863.2
5.0,6.0,79.2,5.0,6.0,118.1,5.0,6.0,43.6,5.0,6.0,890.3,4.0,6.0,1188.0,4.0,5.0,1280.0
6.0,2.0,31.0,6.0,1.0,96.2,6.0,1.0,28.2,6.0,1.0,575.4,6.0,1.0,197.5,5.0,1.0,364.3
6.0,3.0,20.8,6.0,3.0,76.1,6.0,2.0,39.8,6.0,2.0,638.4,6.0,2.0,312.6,5.0,2.0,453.2
6.0,4.0,100.3,6.0,4.0,426.0,6.0,4.0,159.2,6.0,3.0,549.9,6.0,3.0,178.5,5.0,3.0,267.2
6.0,5.0,70.7,6.0,5.0,128.8,6.0,5.0,44.1,6.0,5.0,848.4,6.0,4.0,729.9,5.0,4.0,1050.0
