1,岡田 憲行,岡田 憲行.1,2,倉田 茂将,倉田 茂将.1,3,奥村　明日香,奥村　明日香.1,4,北村 寧々,北村 寧々.1,5,石川 哲秀,石川 哲秀.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,31.4,1.0,3.0,120.5,1.0,2.0,497.2,1.0,2.0,71.3,1.0,2.0,279.7,1.0,2.0,48.0
2.0,4.0,10.9,1.0,4.0,46.8,1.0,4.0,499.8,1.0,3.0,214.4,1.0,3.0,749.1,1.0,3.0,189.6
2.0,5.0,21.7,1.0,5.0,83.9,1.0,5.0,743.2,1.0,5.0,100.3,1.0,4.0,346.6,1.0,4.0,56.6
2.0,6.0,6.1,1.0,6.0,19.7,1.0,6.0,403.3,1.0,6.0,42.0,1.0,6.0,187.4,1.0,5.0,104.5
3.0,2.0,87.9,3.0,1.0,605.3,2.0,1.0,795.3,2.0,1.0,139.7,2.0,1.0,539.7,2.0,1.0,106.1
3.0,4.0,83.4,3.0,4.0,1104.0,2.0,4.0,1345.0,2.0,3.0,618.5,2.0,3.0,2406.0,2.0,3.0,546.0
3.0,5.0,160.5,3.0,5.0,1433.0,2.0,5.0,1831.0,2.0,5.0,344.1,2.0,4.0,1245.0,2.0,4.0,200.9
3.0,6.0,71.1,3.0,6.0,782.1,2.0,6.0,985.8,2.0,6.0,145.0,2.0,6.0,661.8,2.0,5.0,332.8
4.0,2.0,14.5,4.0,1.0,146.2,4.0,1.0,788.6,3.0,1.0,574.7,3.0,1.0,1391.0,3.0,1.0,491.2
4.0,3.0,58.4,4.0,3.0,763.2,4.0,2.0,1261.0,3.0,2.0,972.3,3.0,2.0,2346.0,3.0,2.0,759.1
4.0,5.0,32.4,4.0,5.0,452.1,4.0,5.0,1543.0,3.0,5.0,1154.0,3.0,4.0,1918.0,3.0,4.0,664.9
4.0,6.0,10.4,4.0,6.0,169.6,4.0,6.0,946.4,3.0,6.0,722.4,3.0,6.0,1680.0,3.0,5.0,996.2
5.0,2.0,47.1,5.0,1.0,312.3,5.0,1.0,1478.0,5.0,1.0,208.6,4.0,1.0,578.2,4.0,1.0,104.2
5.0,3.0,132.8,5.0,3.0,1385.0,5.0,2.0,2028.0,5.0,2.0,454.2,4.0,2.0,985.8,4.0,2.0,197.9
5.0,4.0,49.4,5.0,4.0,782.1,5.0,4.0,1586.0,5.0,3.0,901.3,4.0,3.0,1494.0,4.0,3.0,438.1
5.0,6.0,32.9,5.0,6.0,492.9,5.0,6.0,1595.0,5.0,6.0,224.9,4.0,6.0,602.8,4.0,5.0,334.8
6.0,2.0,10.9,6.0,1.0,82.2,6.0,1.0,648.2,6.0,1.0,63.8,6.0,1.0,267.6,5.0,1.0,224.8
6.0,3.0,47.3,6.0,3.0,573.5,6.0,2.0,1256.0,6.0,2.0,124.0,6.0,2.0,547.0,5.0,2.0,380.0
6.0,4.0,11.3,6.0,4.0,196.6,6.0,4.0,1021.0,6.0,3.0,308.9,6.0,3.0,940.1,5.0,3.0,879.0
6.0,5.0,26.4,6.0,5.0,370.1,6.0,5.0,1586.0,6.0,5.0,176.5,6.0,4.0,615.8,5.0,4.0,382.1
