1,中村 泰平,中村 泰平.1,2,川崎 公靖,川崎 公靖.1,3,松崎　祐太郎,松崎　祐太郎.1,4,安達 美帆,安達 美帆.1,5,田中　太一郎,田中　太一郎.1,6,竹間 隆晟,竹間 隆晟.1
2.0,3.0,11.8,1.0,3.0,136.6,1.0,2.0,45.1,1.0,2.0,1217.0,1.0,2.0,234.5,1.0,2.0,282.4
2.0,4.0,96.7,1.0,4.0,461.0,1.0,4.0,91.9,1.0,3.0,846.8,1.0,3.0,90.3,1.0,3.0,92.7
2.0,5.0,35.3,1.0,5.0,262.7,1.0,5.0,30.6,1.0,5.0,1226.0,1.0,4.0,612.6,1.0,4.0,672.6
2.0,6.0,29.3,1.0,6.0,253.3,1.0,6.0,24.3,1.0,6.0,1005.0,1.0,6.0,91.4,1.0,5.0,164.6
3.0,2.0,7.0,3.0,1.0,254.3,2.0,1.0,160.0,2.0,1.0,1989.0,2.0,1.0,511.4,2.0,1.0,737.3
3.0,4.0,27.7,3.0,4.0,1031.0,2.0,4.0,528.2,2.0,3.0,1811.0,2.0,3.0,615.9,2.0,3.0,980.0
3.0,5.0,5.9,3.0,5.0,618.3,2.0,5.0,418.1,2.0,5.0,2540.0,2.0,4.0,2194.0,2.0,4.0,2717.0
3.0,6.0,4.8,3.0,6.0,684.4,2.0,6.0,350.4,2.0,6.0,2582.0,2.0,6.0,693.5,2.0,5.0,1447.0
4.0,2.0,194.3,4.0,1.0,1442.0,4.0,1.0,349.3,3.0,1.0,1387.0,3.0,1.0,194.3,3.0,1.0,152.8
4.0,3.0,101.4,4.0,3.0,1532.0,4.0,2.0,967.8,3.0,2.0,1470.0,3.0,2.0,681.4,3.0,2.0,647.4
4.0,5.0,183.6,4.0,5.0,2671.0,4.0,5.0,723.6,3.0,5.0,2184.0,3.0,4.0,1447.0,3.0,4.0,892.1
4.0,6.0,148.4,4.0,6.0,2850.0,4.0,6.0,547.3,3.0,6.0,1351.0,3.0,6.0,266.6,3.0,5.0,382.5
5.0,2.0,38.8,5.0,1.0,643.9,5.0,1.0,105.5,5.0,1.0,1847.0,4.0,1.0,1507.0,4.0,1.0,2115.0
5.0,3.0,17.2,5.0,3.0,744.3,5.0,2.0,351.7,5.0,2.0,3339.0,4.0,2.0,2940.0,4.0,2.0,3769.0
5.0,4.0,147.8,5.0,4.0,2325.0,5.0,4.0,541.6,5.0,3.0,2582.0,4.0,3.0,2174.0,4.0,3.0,2068.0
5.0,6.0,23.9,5.0,6.0,1207.0,5.0,6.0,158.3,5.0,6.0,1908.0,4.0,6.0,1818.0,4.0,5.0,2867.0
6.0,2.0,39.9,6.0,1.0,683.4,6.0,1.0,75.5,6.0,1.0,1939.0,6.0,1.0,135.2,5.0,1.0,227.4
6.0,3.0,13.9,6.0,3.0,927.5,6.0,2.0,275.1,6.0,2.0,3680.0,6.0,2.0,452.9,5.0,2.0,721.4
6.0,4.0,125.2,6.0,4.0,2447.0,6.0,4.0,438.5,6.0,3.0,1908.0,6.0,3.0,210.1,5.0,3.0,346.5
6.0,5.0,29.4,6.0,5.0,1634.0,6.0,5.0,167.4,6.0,5.0,2749.0,6.0,4.0,1214.0,5.0,4.0,1744.0
