1,竹井 貴史,竹井 貴史.1,2,大上 卓人,大上 卓人.1,3,中野 次郎,中野 次郎.1,4,篠崎 仁志,篠崎 仁志.1,5,石丸 海渡,石丸 海渡.1,6,篠崎 元志,篠崎 元志.1
2.0,3.0,11.1,1.0,3.0,64.9,1.0,2.0,140.9,1.0,2.0,218.9,1.0,2.0,64.7,1.0,2.0,491.3
2.0,4.0,14.2,1.0,4.0,74.2,1.0,4.0,115.2,1.0,3.0,260.1,1.0,3.0,81.9,1.0,3.0,568.0
2.0,5.0,11.9,1.0,5.0,58.7,1.0,5.0,98.2,1.0,5.0,174.2,1.0,4.0,100.7,1.0,4.0,399.5
2.0,6.0,17.6,1.0,6.0,78.1,1.0,6.0,125.8,1.0,6.0,137.8,1.0,6.0,65.2,1.0,5.0,415.0
3.0,2.0,16.5,3.0,1.0,177.5,2.0,1.0,266.2,2.0,1.0,423.1,2.0,1.0,151.3,2.0,1.0,825.0
3.0,4.0,16.0,3.0,4.0,404.7,2.0,4.0,437.5,2.0,3.0,719.7,2.0,3.0,363.5,2.0,3.0,1343.0
3.0,5.0,14.3,3.0,5.0,359.8,2.0,5.0,380.9,2.0,5.0,610.6,2.0,4.0,438.2,2.0,4.0,951.8
3.0,6.0,21.4,3.0,6.0,398.3,2.0,6.0,406.3,2.0,6.0,495.6,2.0,6.0,238.8,2.0,5.0,1150.0
4.0,2.0,24.3,4.0,1.0,215.7,4.0,1.0,267.2,3.0,1.0,489.4,3.0,1.0,226.7,3.0,1.0,1153.0
4.0,3.0,26.6,4.0,3.0,473.5,4.0,2.0,516.2,3.0,2.0,821.5,3.0,2.0,504.6,3.0,2.0,1573.0
4.0,5.0,23.2,4.0,5.0,454.1,4.0,5.0,373.2,3.0,5.0,683.1,3.0,4.0,580.1,3.0,4.0,1162.0
4.0,6.0,23.7,4.0,6.0,373.4,4.0,6.0,322.0,3.0,6.0,584.0,3.0,6.0,331.1,3.0,5.0,1288.0
5.0,2.0,20.2,5.0,1.0,149.2,5.0,1.0,210.1,5.0,1.0,215.1,4.0,1.0,208.6,4.0,1.0,506.4
5.0,3.0,23.2,5.0,3.0,383.3,5.0,2.0,430.2,5.0,2.0,378.9,4.0,2.0,445.9,4.0,2.0,782.0
5.0,4.0,31.4,5.0,4.0,452.6,5.0,4.0,407.9,5.0,3.0,492.6,4.0,3.0,541.5,4.0,3.0,978.8
5.0,6.0,21.8,5.0,6.0,329.8,5.0,6.0,315.2,5.0,6.0,147.0,4.0,6.0,197.0,4.0,5.0,494.5
6.0,2.0,57.1,6.0,1.0,317.3,6.0,1.0,420.2,6.0,1.0,210.7,6.0,1.0,139.5,5.0,1.0,440.6
6.0,3.0,61.4,6.0,3.0,665.1,6.0,2.0,722.5,6.0,2.0,398.8,6.0,2.0,252.6,5.0,2.0,740.3
6.0,4.0,58.8,6.0,4.0,603.8,6.0,4.0,520.7,6.0,3.0,498.2,6.0,3.0,303.6,5.0,3.0,856.0
6.0,5.0,52.6,6.0,5.0,623.9,6.0,5.0,556.0,6.0,5.0,198.5,6.0,4.0,205.9,5.0,4.0,443.7
