1,飛田 江己,飛田 江己.1,2,大場 恒季,大場 恒季.1,3,中野 希一,中野 希一.1,4,小玉 啓太,小玉 啓太.1,5,小宮 涼雅,小宮 涼雅.1,6,笹木 香吾,笹木 香吾.1
2.0,3.0,3.7,1.0,3.0,27.9,1.0,2.0,24.0,1.0,2.0,618.9,1.0,2.0,414.7,1.0,2.0,538.8
2.0,4.0,15.9,1.0,4.0,87.9,1.0,4.0,57.0,1.0,3.0,627.6,1.0,3.0,361.8,1.0,3.0,545.4
2.0,5.0,24.3,1.0,5.0,174.5,1.0,5.0,79.5,1.0,5.0,1082.0,1.0,4.0,834.3,1.0,4.0,1404.0
2.0,6.0,17.3,1.0,6.0,97.3,1.0,6.0,59.7,1.0,6.0,1032.0,1.0,6.0,641.5,1.0,5.0,1335.0
3.0,2.0,4.2,3.0,1.0,43.1,2.0,1.0,40.0,2.0,1.0,1089.0,2.0,1.0,713.2,2.0,1.0,781.2
3.0,4.0,11.6,3.0,4.0,173.2,2.0,4.0,158.1,2.0,3.0,1279.0,2.0,3.0,1111.0,2.0,3.0,978.9
3.0,5.0,18.6,3.0,5.0,236.3,2.0,5.0,218.1,2.0,5.0,2776.0,2.0,4.0,2857.0,2.0,4.0,2808.0
3.0,6.0,14.0,3.0,6.0,177.8,2.0,6.0,140.1,2.0,6.0,2005.0,2.0,6.0,1555.0,2.0,5.0,3014.0
4.0,2.0,54.2,4.0,1.0,502.4,4.0,1.0,216.2,3.0,1.0,787.5,3.0,1.0,546.6,3.0,1.0,679.7
4.0,3.0,52.4,4.0,3.0,430.3,4.0,2.0,277.9,3.0,2.0,1124.0,3.0,2.0,1030.0,3.0,2.0,1084.0
4.0,5.0,156.9,4.0,5.0,1137.0,4.0,5.0,566.8,3.0,5.0,2223.0,3.0,4.0,2613.0,3.0,4.0,1682.0
4.0,6.0,128.7,4.0,6.0,961.6,4.0,6.0,356.1,3.0,6.0,1526.0,3.0,6.0,1489.0,3.0,5.0,2586.0
5.0,2.0,69.7,5.0,1.0,633.2,5.0,1.0,247.9,5.0,1.0,1826.0,4.0,1.0,1854.0,4.0,1.0,2670.0
5.0,3.0,74.7,5.0,3.0,700.0,5.0,2.0,341.0,5.0,2.0,3071.0,4.0,2.0,3412.0,4.0,2.0,3561.0
5.0,4.0,203.7,5.0,4.0,1621.0,5.0,4.0,636.5,5.0,3.0,3130.0,4.0,3.0,3460.0,4.0,3.0,2996.0
5.0,6.0,168.7,5.0,6.0,1357.0,5.0,6.0,400.8,5.0,6.0,2243.0,4.0,6.0,2840.0,4.0,5.0,3320.0
6.0,2.0,79.6,6.0,1.0,502.4,6.0,1.0,224.7,6.0,1.0,1724.0,6.0,1.0,961.6,5.0,1.0,2184.0
6.0,3.0,81.2,6.0,3.0,431.4,6.0,2.0,303.1,6.0,2.0,2340.0,6.0,2.0,1462.0,5.0,2.0,3150.0
6.0,4.0,219.7,6.0,4.0,1175.0,6.0,4.0,512.9,6.0,3.0,2047.0,6.0,3.0,1480.0,5.0,3.0,2978.0
6.0,5.0,267.2,6.0,5.0,1712.0,6.0,5.0,747.9,6.0,5.0,2925.0,6.0,4.0,3052.0,5.0,4.0,3751.0
