1,待鳥 雄紀,待鳥 雄紀.1,2,泉 啓文,泉 啓文.1,3,浦田 晃嗣,浦田 晃嗣.1,4,高橋 直哉,高橋 直哉.1,5,仲 航太,仲 航太.1,6,都築 正治,都築 正治.1
2.0,3.0,13.2,1.0,3.0,103.8,1.0,2.0,59.3,1.0,2.0,267.7,1.0,2.0,291.2,1.0,2.0,202.6
2.0,4.0,21.8,1.0,4.0,149.7,1.0,4.0,42.6,1.0,3.0,223.7,1.0,3.0,213.1,1.0,3.0,110.4
2.0,5.0,39.7,1.0,5.0,216.4,1.0,5.0,59.4,1.0,5.0,298.6,1.0,4.0,293.4,1.0,4.0,269.1
2.0,6.0,21.1,1.0,6.0,142.4,1.0,6.0,26.4,1.0,6.0,213.4,1.0,6.0,287.4,1.0,5.0,282.6
3.0,2.0,10.8,3.0,1.0,196.6,2.0,1.0,136.5,2.0,1.0,354.9,2.0,1.0,556.9,2.0,1.0,478.4
3.0,4.0,9.8,3.0,4.0,227.4,2.0,4.0,176.0,2.0,3.0,524.4,2.0,3.0,838.5,2.0,3.0,423.9
3.0,5.0,18.1,3.0,5.0,364.2,2.0,5.0,251.8,2.0,5.0,794.8,2.0,4.0,1192.0,2.0,4.0,687.4
3.0,6.0,7.6,3.0,6.0,200.0,2.0,6.0,133.8,2.0,6.0,425.1,2.0,6.0,1105.0,2.0,5.0,1374.0
4.0,2.0,33.4,4.0,1.0,348.4,4.0,1.0,95.0,3.0,1.0,197.4,3.0,1.0,283.6,3.0,1.0,164.6
4.0,3.0,21.2,4.0,3.0,339.8,4.0,2.0,175.6,3.0,2.0,408.0,3.0,2.0,652.1,3.0,2.0,354.0
4.0,5.0,43.4,4.0,5.0,766.8,4.0,5.0,183.6,3.0,5.0,473.9,3.0,4.0,605.6,3.0,4.0,508.7
4.0,6.0,28.3,4.0,6.0,396.3,4.0,6.0,93.8,3.0,6.0,238.4,3.0,6.0,556.9,3.0,5.0,589.2
5.0,2.0,74.5,5.0,1.0,392.3,5.0,1.0,132.9,5.0,1.0,537.3,4.0,1.0,660.6,4.0,1.0,633.2
5.0,3.0,40.8,5.0,3.0,608.0,5.0,2.0,231.2,5.0,2.0,1010.0,4.0,2.0,1220.0,4.0,2.0,1004.0
5.0,4.0,59.6,5.0,4.0,1220.0,5.0,4.0,262.2,5.0,3.0,726.7,4.0,3.0,843.1,4.0,3.0,790.7
5.0,6.0,55.8,5.0,6.0,936.2,5.0,6.0,166.6,5.0,6.0,563.1,4.0,6.0,936.2,4.0,5.0,1192.0
6.0,2.0,36.1,6.0,1.0,332.4,6.0,1.0,53.8,6.0,1.0,292.3,6.0,1.0,507.0,5.0,1.0,716.4
6.0,3.0,18.7,6.0,3.0,338.3,6.0,2.0,133.8,6.0,2.0,505.3,6.0,2.0,1362.0,5.0,2.0,1024.0
6.0,4.0,37.2,6.0,4.0,696.8,6.0,4.0,112.2,6.0,3.0,402.6,6.0,3.0,786.6,5.0,3.0,843.1
6.0,5.0,51.7,6.0,5.0,1113.0,6.0,5.0,133.4,6.0,5.0,545.0,6.0,4.0,1192.0,5.0,4.0,1240.0
