1,岡崎 恭裕,岡崎 恭裕.1,2,牧 宏次,牧 宏次.1,3,早川 尚人,早川 尚人.1,4,北野 輝季,北野 輝季.1,5,若林 義人,若林 義人.1,6,森野 正弘,森野 正弘.1
2.0,3.0,33.0,1.0,3.0,273.3,1.0,2.0,397.3,1.0,2.0,93.6,1.0,2.0,102.8,1.0,2.0,263.5
2.0,4.0,16.1,1.0,4.0,198.8,1.0,4.0,301.8,1.0,3.0,149.8,1.0,3.0,160.3,1.0,3.0,434.7
2.0,5.0,19.6,1.0,5.0,246.3,1.0,5.0,336.5,1.0,5.0,39.1,1.0,4.0,58.2,1.0,4.0,157.4
2.0,6.0,26.1,1.0,6.0,278.7,1.0,6.0,440.8,1.0,6.0,41.4,1.0,6.0,47.3,1.0,5.0,145.3
3.0,2.0,38.2,3.0,1.0,593.0,2.0,1.0,597.9,2.0,1.0,283.3,2.0,1.0,279.0,2.0,1.0,550.8
3.0,4.0,26.8,3.0,4.0,1149.0,2.0,4.0,998.9,2.0,3.0,850.4,2.0,3.0,796.6,2.0,3.0,1284.0
3.0,5.0,29.1,3.0,5.0,1104.0,2.0,5.0,1066.0,2.0,5.0,419.9,2.0,4.0,527.7,2.0,4.0,887.9
3.0,6.0,39.6,3.0,6.0,1331.0,2.0,6.0,1294.0,2.0,6.0,370.4,2.0,6.0,334.5,2.0,5.0,743.6
4.0,2.0,14.9,4.0,1.0,390.5,4.0,1.0,627.7,3.0,1.0,522.8,3.0,1.0,484.5,3.0,1.0,903.9
4.0,3.0,24.5,4.0,3.0,1126.0,4.0,2.0,1371.0,3.0,2.0,1017.0,3.0,2.0,1010.0,3.0,2.0,1426.0
4.0,5.0,10.0,4.0,5.0,763.9,4.0,5.0,966.3,3.0,5.0,707.1,3.0,4.0,1021.0,3.0,4.0,1346.0
4.0,6.0,11.0,4.0,6.0,736.0,4.0,6.0,987.2,3.0,6.0,755.9,3.0,6.0,698.2,3.0,5.0,1271.0
5.0,2.0,21.5,5.0,1.0,481.3,5.0,1.0,562.5,5.0,1.0,54.9,4.0,1.0,83.3,4.0,1.0,203.5
5.0,3.0,32.1,5.0,3.0,1274.0,5.0,2.0,1222.0,5.0,2.0,187.8,4.0,2.0,281.1,4.0,2.0,623.1
5.0,4.0,14.9,5.0,4.0,958.9,5.0,4.0,1195.0,5.0,3.0,300.0,4.0,3.0,513.2,4.0,3.0,1059.0
5.0,6.0,14.0,5.0,6.0,618.5,5.0,6.0,884.8,5.0,6.0,54.0,4.0,6.0,87.2,4.0,5.0,247.8
6.0,2.0,44.2,6.0,1.0,648.8,6.0,1.0,948.1,6.0,1.0,77.0,6.0,1.0,79.3,5.0,1.0,173.6
6.0,3.0,64.1,6.0,3.0,1422.0,6.0,2.0,1603.0,6.0,2.0,248.2,6.0,2.0,234.7,5.0,2.0,444.3
6.0,4.0,27.7,6.0,4.0,989.1,6.0,4.0,1368.0,6.0,3.0,377.1,6.0,3.0,391.5,5.0,3.0,713.1
6.0,5.0,26.0,6.0,5.0,761.6,6.0,5.0,1101.0,6.0,5.0,82.9,6.0,4.0,118.4,5.0,4.0,228.4
