1,平瀬 城啓,平瀬 城啓.1,2,村上 純,村上 純.1,3,冨名腰　桃奈,冨名腰　桃奈.1,4,村上 彰一,村上 彰一.1,5,横井 光弘,横井 光弘.1,6,羽田 妃希,羽田 妃希.1
2.0,3.0,13.5,1.0,3.0,20.8,1.0,2.0,51.4,1.0,2.0,44.7,1.0,2.0,172.6,1.0,2.0,837.8
2.0,4.0,9.8,1.0,4.0,17.7,1.0,4.0,49.3,1.0,3.0,81.4,1.0,3.0,237.2,1.0,3.0,689.9
2.0,5.0,17.1,1.0,5.0,22.8,1.0,5.0,55.3,1.0,5.0,45.1,1.0,4.0,182.4,1.0,4.0,743.4
2.0,6.0,113.0,1.0,6.0,157.0,1.0,6.0,217.4,1.0,6.0,176.6,1.0,6.0,527.8,1.0,5.0,1192.0
3.0,2.0,20.7,3.0,1.0,50.6,2.0,1.0,77.7,2.0,1.0,60.9,2.0,1.0,216.7,2.0,1.0,1082.0
3.0,4.0,24.0,3.0,4.0,54.8,2.0,4.0,76.6,2.0,3.0,112.7,2.0,3.0,274.9,2.0,3.0,1407.0
3.0,5.0,33.5,3.0,5.0,68.9,2.0,5.0,97.8,2.0,5.0,70.0,2.0,4.0,208.8,2.0,4.0,1105.0
3.0,6.0,128.5,3.0,6.0,282.6,2.0,6.0,346.1,2.0,6.0,271.3,2.0,6.0,837.8,2.0,5.0,1702.0
4.0,2.0,16.4,4.0,1.0,41.0,4.0,1.0,71.4,3.0,1.0,127.9,3.0,1.0,395.3,3.0,1.0,1172.0
4.0,3.0,28.5,4.0,3.0,61.1,4.0,2.0,79.4,3.0,2.0,135.4,3.0,2.0,295.7,3.0,2.0,1446.0
4.0,5.0,26.1,4.0,5.0,56.9,4.0,5.0,78.1,3.0,5.0,125.6,3.0,4.0,367.8,3.0,4.0,1129.0
4.0,6.0,135.6,4.0,6.0,250.1,4.0,6.0,229.7,3.0,6.0,382.4,3.0,6.0,1082.0,3.0,5.0,1466.0
5.0,2.0,43.9,5.0,1.0,84.3,5.0,1.0,125.9,5.0,1.0,56.1,4.0,1.0,199.9,4.0,1.0,1508.0
5.0,3.0,64.5,5.0,3.0,110.4,5.0,2.0,134.9,5.0,2.0,66.4,4.0,2.0,191.0,4.0,2.0,1407.0
5.0,4.0,50.8,5.0,4.0,98.4,5.0,4.0,123.2,5.0,3.0,127.0,4.0,3.0,318.4,4.0,3.0,1497.0
5.0,6.0,224.6,5.0,6.0,455.0,5.0,6.0,396.8,5.0,6.0,192.2,4.0,6.0,522.6,4.0,5.0,1446.0
6.0,2.0,423.1,6.0,1.0,622.8,6.0,1.0,615.5,6.0,1.0,410.7,6.0,1.0,1371.0,5.0,1.0,1789.0
6.0,3.0,431.7,6.0,3.0,764.9,6.0,2.0,604.9,6.0,2.0,520.0,6.0,2.0,1702.0,5.0,2.0,2543.0
6.0,4.0,376.3,6.0,4.0,767.7,6.0,4.0,522.6,6.0,3.0,601.5,6.0,3.0,1486.0,5.0,3.0,1868.0
6.0,5.0,402.1,6.0,5.0,926.0,6.0,5.0,802.8,6.0,5.0,443.5,6.0,4.0,1199.0,5.0,4.0,1662.0
