1,菊池 宏志,菊池 宏志.1,2,抹香 雄三,抹香 雄三.1,3,東 健介,東 健介.1,4,横田 貴満,横田 貴満.1,5,内田 圭,内田 圭.1,6,赤峰 和也,赤峰 和也.1
2.0,3.0,18.0,1.0,3.0,28.1,1.0,2.0,152.4,1.0,2.0,31.5,1.0,2.0,167.1,1.0,2.0,1023.0
2.0,4.0,10.4,1.0,4.0,12.7,1.0,4.0,157.6,1.0,3.0,97.5,1.0,3.0,417.6,1.0,3.0,1149.0
2.0,5.0,28.7,1.0,5.0,32.3,1.0,5.0,284.2,1.0,5.0,42.9,1.0,4.0,187.0,1.0,4.0,1504.0
2.0,6.0,114.1,1.0,6.0,106.4,1.0,6.0,395.0,1.0,6.0,131.1,1.0,6.0,475.9,1.0,5.0,1650.0
3.0,2.0,38.6,3.0,1.0,58.5,2.0,1.0,140.9,2.0,1.0,32.1,2.0,1.0,213.6,2.0,1.0,1279.0
3.0,4.0,33.6,3.0,4.0,39.9,2.0,4.0,77.9,2.0,3.0,67.7,2.0,3.0,333.2,2.0,3.0,1967.0
3.0,5.0,73.7,3.0,5.0,67.9,2.0,5.0,133.4,2.0,5.0,29.2,2.0,4.0,132.5,2.0,4.0,562.2
3.0,6.0,141.3,3.0,6.0,155.2,2.0,6.0,285.0,2.0,6.0,80.3,2.0,6.0,369.3,2.0,5.0,1218.0
4.0,2.0,14.5,4.0,1.0,16.1,4.0,1.0,182.3,3.0,1.0,180.4,3.0,1.0,682.1,3.0,1.0,1023.0
4.0,3.0,32.3,4.0,3.0,31.3,4.0,2.0,109.3,3.0,2.0,131.3,3.0,2.0,475.9,3.0,2.0,2046.0
4.0,5.0,33.2,4.0,5.0,22.9,4.0,5.0,167.4,3.0,5.0,164.7,3.0,4.0,506.5,3.0,4.0,1482.0
4.0,6.0,112.6,4.0,6.0,64.3,4.0,6.0,354.0,3.0,6.0,252.6,3.0,6.0,696.0,3.0,5.0,1967.0
5.0,2.0,61.9,5.0,1.0,84.0,5.0,1.0,373.4,5.0,1.0,48.0,4.0,1.0,159.3,4.0,1.0,1550.0
5.0,3.0,130.1,5.0,3.0,105.3,5.0,2.0,271.4,5.0,2.0,40.1,4.0,2.0,111.8,4.0,2.0,781.0
5.0,4.0,68.1,5.0,4.0,58.7,5.0,4.0,281.1,5.0,3.0,125.2,4.0,3.0,327.9,4.0,3.0,2224.0
5.0,6.0,214.9,5.0,6.0,183.7,5.0,6.0,519.3,5.0,6.0,76.0,4.0,6.0,227.3,4.0,5.0,1149.0
6.0,2.0,344.5,6.0,1.0,465.0,6.0,1.0,691.3,6.0,1.0,261.0,6.0,1.0,1203.0,5.0,1.0,2177.0
6.0,3.0,355.2,6.0,3.0,422.8,6.0,2.0,818.5,6.0,2.0,193.7,6.0,2.0,752.3,5.0,2.0,1203.0
6.0,4.0,404.4,6.0,4.0,281.8,6.0,4.0,938.7,6.0,3.0,336.5,6.0,3.0,897.5,5.0,3.0,2325.0
6.0,5.0,460.9,6.0,5.0,409.2,6.0,5.0,1100.0,6.0,5.0,213.1,6.0,4.0,682.1,5.0,4.0,1203.0
