1,片岡 大地,片岡 大地.1,2,橋口 真樹,橋口 真樹.1,3,長畑 友輔,長畑 友輔.1,4,高濱 芳久,高濱 芳久.1,5,吉村 誠,吉村 誠.1,6,榎 幸司,榎 幸司.1
2.0,3.0,29.8,1.0,3.0,82.3,1.0,2.0,99.4,1.0,2.0,207.7,1.0,2.0,102.9,1.0,2.0,228.9
2.0,4.0,39.4,1.0,4.0,109.1,1.0,4.0,81.3,1.0,3.0,201.5,1.0,3.0,74.6,1.0,3.0,151.1
2.0,5.0,31.7,1.0,5.0,80.7,1.0,5.0,45.7,1.0,5.0,124.8,1.0,4.0,117.4,1.0,4.0,182.6
2.0,6.0,34.6,1.0,6.0,84.7,1.0,6.0,57.8,1.0,6.0,120.9,1.0,6.0,55.2,1.0,5.0,35.7
3.0,2.0,28.6,3.0,1.0,171.3,2.0,1.0,190.8,2.0,1.0,265.3,2.0,1.0,194.1,2.0,1.0,369.5
3.0,4.0,26.9,3.0,4.0,205.3,2.0,4.0,200.1,2.0,3.0,346.1,2.0,3.0,291.9,2.0,3.0,686.9
3.0,5.0,18.5,3.0,5.0,233.8,2.0,5.0,211.8,2.0,5.0,278.4,2.0,4.0,331.1,2.0,4.0,527.5
3.0,6.0,21.5,3.0,6.0,179.8,2.0,6.0,167.2,2.0,6.0,231.3,2.0,6.0,199.0,2.0,5.0,388.3
4.0,2.0,55.7,4.0,1.0,209.2,4.0,1.0,134.6,3.0,1.0,253.1,3.0,1.0,113.1,3.0,1.0,259.1
4.0,3.0,44.8,4.0,3.0,292.9,4.0,2.0,182.4,3.0,2.0,404.5,3.0,2.0,289.0,3.0,2.0,545.6
4.0,5.0,37.4,4.0,5.0,281.1,4.0,5.0,117.0,3.0,5.0,201.5,3.0,4.0,195.0,3.0,4.0,323.1
4.0,6.0,36.2,4.0,6.0,221.7,4.0,6.0,104.4,3.0,6.0,189.3,3.0,6.0,85.1,3.0,5.0,190.1
5.0,2.0,38.1,5.0,1.0,156.3,5.0,1.0,68.9,5.0,1.0,138.4,4.0,1.0,174.9,4.0,1.0,317.8
5.0,3.0,25.1,5.0,3.0,292.9,5.0,2.0,201.1,5.0,2.0,236.3,4.0,2.0,298.4,4.0,2.0,576.1
5.0,4.0,37.3,5.0,4.0,306.7,5.0,4.0,132.2,5.0,3.0,193.7,4.0,3.0,236.7,4.0,3.0,578.0
5.0,6.0,21.6,5.0,6.0,210.7,5.0,6.0,65.3,5.0,6.0,102.6,4.0,6.0,122.2,4.0,5.0,276.2
6.0,2.0,35.5,6.0,1.0,270.3,6.0,1.0,101.0,6.0,1.0,187.1,6.0,1.0,71.7,5.0,1.0,124.4
6.0,3.0,25.8,6.0,3.0,504.7,6.0,2.0,313.3,6.0,2.0,272.8,6.0,2.0,77.6,5.0,2.0,283.4
6.0,4.0,29.8,6.0,4.0,361.9,6.0,4.0,147.1,6.0,3.0,264.1,6.0,3.0,92.2,5.0,3.0,179.8
6.0,5.0,22.4,6.0,5.0,313.9,6.0,5.0,104.9,6.0,5.0,155.0,6.0,4.0,110.8,5.0,4.0,193.3
