1,峰重 侑治,峰重 侑治.1,2,小澤 学,小澤 学.1,3,清水 紀克,清水 紀克.1,4,柴田 朋哉,柴田 朋哉.1,5,雑賀 勇貴,雑賀 勇貴.1,6,中田 元泰,中田 元泰.1
2.0,3.0,109.3,1.0,3.0,486.2,1.0,2.0,448.1,1.0,2.0,151.0,1.0,2.0,168.3,1.0,2.0,146.5
2.0,4.0,69.6,1.0,4.0,359.0,1.0,4.0,200.6,1.0,3.0,107.3,1.0,3.0,98.4,1.0,3.0,138.7
2.0,5.0,85.8,1.0,5.0,391.8,1.0,5.0,250.7,1.0,5.0,38.8,1.0,4.0,64.8,1.0,4.0,47.8
2.0,6.0,44.9,1.0,6.0,238.0,1.0,6.0,164.8,1.0,6.0,23.6,1.0,6.0,38.8,1.0,5.0,67.2
3.0,2.0,106.5,3.0,1.0,820.3,2.0,1.0,806.3,2.0,1.0,373.6,2.0,1.0,373.6,2.0,1.0,325.0
3.0,4.0,56.4,3.0,4.0,1440.0,2.0,4.0,950.5,2.0,3.0,677.4,2.0,3.0,684.8,2.0,3.0,669.0
3.0,5.0,75.6,3.0,5.0,1585.0,2.0,5.0,1143.0,2.0,5.0,295.2,2.0,4.0,365.6,2.0,4.0,305.8
3.0,6.0,46.4,3.0,6.0,1147.0,2.0,6.0,982.7,2.0,6.0,155.1,2.0,6.0,184.6,2.0,5.0,337.8
4.0,2.0,62.6,4.0,1.0,608.6,4.0,1.0,412.8,3.0,1.0,246.8,3.0,1.0,222.2,3.0,1.0,318.4
4.0,3.0,54.4,4.0,3.0,1063.0,4.0,2.0,1305.0,3.0,2.0,811.5,3.0,2.0,564.0,3.0,2.0,794.4
4.0,5.0,22.1,4.0,5.0,528.5,4.0,5.0,554.9,3.0,5.0,195.9,3.0,4.0,278.4,3.0,4.0,405.7
4.0,6.0,13.7,4.0,6.0,308.3,4.0,6.0,368.5,3.0,6.0,159.9,3.0,6.0,193.1,3.0,5.0,454.1
5.0,2.0,80.8,5.0,1.0,716.0,5.0,1.0,426.4,5.0,1.0,31.7,4.0,1.0,49.9,4.0,1.0,56.7
5.0,3.0,77.4,5.0,3.0,1253.0,5.0,2.0,1402.0,5.0,2.0,154.5,4.0,2.0,194.8,4.0,2.0,203.3
5.0,4.0,38.3,5.0,4.0,663.2,5.0,4.0,611.6,5.0,3.0,88.3,4.0,3.0,109.0,4.0,3.0,195.3
5.0,6.0,23.9,5.0,6.0,391.0,5.0,6.0,427.3,5.0,6.0,15.5,4.0,6.0,23.5,4.0,5.0,50.8
6.0,2.0,41.0,6.0,1.0,383.8,6.0,1.0,369.6,6.0,1.0,24.3,6.0,1.0,36.5,5.0,1.0,71.9
6.0,3.0,52.6,6.0,3.0,911.5,6.0,2.0,1063.0,6.0,2.0,97.8,6.0,2.0,101.5,5.0,2.0,200.8
6.0,4.0,18.5,6.0,4.0,326.4,6.0,4.0,434.2,6.0,3.0,83.0,6.0,3.0,85.4,5.0,3.0,194.6
6.0,5.0,25.4,6.0,5.0,371.0,6.0,5.0,492.6,6.0,5.0,18.4,6.0,4.0,29.0,5.0,4.0,55.3
