1,郷原 章平,郷原 章平.1,2,小池 修平,小池 修平.1,3,大賀　龍之介,大賀　龍之介.1,4,向後 龍一,向後 龍一.1,5,山下 流心,山下 流心.1,6,小川　竜太朗,小川　竜太朗.1
2.0,3.0,11.6,1.0,3.0,33.2,1.0,2.0,168.9,1.0,2.0,29.9,1.0,2.0,132.6,1.0,2.0,937.4
2.0,4.0,4.2,1.0,4.0,11.0,1.0,4.0,150.3,1.0,3.0,109.0,1.0,3.0,301.6,1.0,3.0,1847.0
2.0,5.0,13.6,1.0,5.0,34.5,1.0,5.0,224.0,1.0,5.0,54.0,1.0,4.0,158.3,1.0,4.0,1071.0
2.0,6.0,56.2,1.0,6.0,104.2,1.0,6.0,435.1,1.0,6.0,117.7,1.0,6.0,283.0,1.0,5.0,1984.0
3.0,2.0,24.5,3.0,1.0,152.9,2.0,1.0,270.4,2.0,1.0,50.6,2.0,1.0,194.2,2.0,1.0,1246.0
3.0,4.0,28.5,3.0,4.0,190.9,2.0,4.0,324.4,2.0,3.0,223.7,2.0,3.0,549.6,2.0,3.0,3005.0
3.0,5.0,58.1,3.0,5.0,351.8,2.0,5.0,472.8,2.0,5.0,117.1,2.0,4.0,269.7,2.0,4.0,1583.0
3.0,6.0,146.8,3.0,6.0,864.3,2.0,6.0,1097.0,2.0,6.0,248.1,2.0,6.0,628.0,2.0,5.0,2435.0
4.0,2.0,7.7,4.0,1.0,33.6,4.0,1.0,240.8,3.0,1.0,255.4,3.0,1.0,438.0,3.0,1.0,2896.0
4.0,3.0,23.6,4.0,3.0,136.5,4.0,2.0,354.9,3.0,2.0,337.4,3.0,2.0,617.1,3.0,2.0,3005.0
4.0,5.0,20.5,4.0,5.0,107.7,4.0,5.0,349.5,3.0,5.0,428.7,3.0,4.0,725.8,3.0,4.0,2896.0
4.0,6.0,62.4,4.0,6.0,270.2,4.0,6.0,643.0,3.0,6.0,709.8,3.0,6.0,1231.0,3.0,5.0,3653.0
5.0,2.0,40.8,5.0,1.0,143.2,5.0,1.0,423.6,5.0,1.0,85.9,4.0,1.0,215.6,4.0,1.0,1339.0
5.0,3.0,88.2,5.0,3.0,444.1,5.0,2.0,505.5,5.0,2.0,109.3,4.0,2.0,282.3,4.0,2.0,1701.0
5.0,4.0,54.9,5.0,4.0,214.2,5.0,4.0,542.2,5.0,3.0,313.0,4.0,3.0,684.1,4.0,3.0,2771.0
5.0,6.0,151.3,5.0,6.0,664.3,5.0,6.0,644.3,5.0,6.0,192.8,4.0,6.0,512.0,4.0,5.0,2399.0
6.0,2.0,224.7,6.0,1.0,612.4,6.0,1.0,1148.0,6.0,1.0,334.5,6.0,1.0,601.0,5.0,1.0,2512.0
6.0,3.0,430.4,6.0,3.0,1410.0,6.0,2.0,1683.0,6.0,2.0,447.2,6.0,2.0,968.5,5.0,2.0,2248.0
6.0,4.0,303.3,6.0,4.0,820.2,6.0,4.0,1186.0,6.0,3.0,971.4,6.0,3.0,1632.0,5.0,3.0,3152.0
6.0,5.0,447.8,6.0,5.0,1339.0,6.0,5.0,1719.0,6.0,5.0,481.3,6.0,4.0,1071.0,5.0,4.0,2679.0
