1,天野 誠,天野 誠.1,2,山口 隆史,山口 隆史.1,3,田中 京介,田中 京介.1,4,岩永 雅人,岩永 雅人.1,5,杉山 太陽,杉山 太陽.1,6,平池 仁志,平池 仁志.1
2.0,3.0,24.2,1.0,3.0,39.5,1.0,2.0,26.3,1.0,2.0,56.5,1.0,2.0,831.5,1.0,2.0,1439.0
2.0,4.0,27.3,1.0,4.0,38.9,1.0,4.0,18.1,1.0,3.0,48.7,1.0,3.0,680.3,1.0,3.0,1655.0
2.0,5.0,148.8,1.0,5.0,188.9,1.0,5.0,87.1,1.0,5.0,151.6,1.0,4.0,903.8,1.0,4.0,1107.0
2.0,6.0,117.8,1.0,6.0,135.0,1.0,6.0,71.0,1.0,6.0,96.3,1.0,6.0,886.7,1.0,5.0,2672.0
3.0,2.0,21.0,3.0,1.0,48.7,2.0,1.0,35.9,2.0,1.0,61.5,2.0,1.0,1133.0,2.0,1.0,1417.0
3.0,4.0,15.9,3.0,4.0,22.6,2.0,4.0,16.4,2.0,3.0,31.1,2.0,3.0,716.8,2.0,3.0,969.4
3.0,5.0,80.5,3.0,5.0,122.3,2.0,5.0,103.1,2.0,5.0,134.9,2.0,4.0,581.0,2.0,4.0,649.6
3.0,6.0,77.7,3.0,6.0,84.3,2.0,6.0,71.4,2.0,6.0,77.8,2.0,6.0,984.7,2.0,5.0,1816.0
4.0,2.0,31.8,4.0,1.0,53.2,4.0,1.0,22.7,3.0,1.0,44.3,3.0,1.0,716.8,3.0,1.0,1439.0
4.0,3.0,23.2,4.0,3.0,28.5,4.0,2.0,15.3,3.0,2.0,27.9,3.0,2.0,640.7,3.0,2.0,926.2
4.0,5.0,114.1,4.0,5.0,125.6,4.0,5.0,54.0,3.0,5.0,95.0,3.0,4.0,450.8,3.0,4.0,550.2
4.0,6.0,75.5,4.0,6.0,79.3,4.0,6.0,33.5,3.0,6.0,53.3,3.0,6.0,842.7,3.0,5.0,1299.0
5.0,2.0,280.9,5.0,1.0,448.6,5.0,1.0,193.8,5.0,1.0,212.1,4.0,1.0,739.5,4.0,1.0,995.1
5.0,3.0,242.9,5.0,3.0,306.7,5.0,2.0,179.7,5.0,2.0,172.2,4.0,2.0,522.6,4.0,2.0,595.8
5.0,4.0,268.8,5.0,4.0,313.9,5.0,4.0,136.1,5.0,3.0,162.6,4.0,3.0,488.5,4.0,3.0,566.9
5.0,6.0,398.9,5.0,6.0,551.9,5.0,6.0,185.0,5.0,6.0,161.4,4.0,6.0,575.6,4.0,5.0,1247.0
6.0,2.0,328.8,6.0,1.0,459.6,6.0,1.0,245.2,6.0,1.0,170.8,6.0,1.0,1127.0,5.0,1.0,2751.0
6.0,3.0,246.8,6.0,3.0,326.5,6.0,2.0,203.3,6.0,2.0,134.9,6.0,2.0,912.6,5.0,2.0,1765.0
6.0,4.0,220.6,6.0,4.0,269.9,6.0,4.0,128.5,6.0,3.0,122.6,6.0,3.0,930.8,5.0,3.0,2011.0
6.0,5.0,525.5,6.0,5.0,870.2,6.0,5.0,319.2,6.0,5.0,236.2,6.0,4.0,773.1,5.0,4.0,1599.0
