1,嶋 義信,嶋 義信.1,2,瓜生 正義,瓜生 正義.1,3,山口 亮,山口 亮.1,4,松尾 怜実,松尾 怜実.1,5,石川 哲秀,石川 哲秀.1,6,深川 和仁,深川 和仁.1
2.0,3.0,7.4,1.0,3.0,7.6,1.0,2.0,197.7,1.0,2.0,269.7,1.0,2.0,127.3,1.0,2.0,251.6
2.0,4.0,18.1,1.0,4.0,26.0,1.0,4.0,775.6,1.0,3.0,1402.0,1.0,3.0,439.6,1.0,3.0,906.3
2.0,5.0,8.5,1.0,5.0,7.4,1.0,5.0,493.3,1.0,5.0,574.1,1.0,4.0,512.1,1.0,4.0,1581.0
2.0,6.0,10.8,1.0,6.0,8.9,1.0,6.0,513.8,1.0,6.0,586.6,1.0,6.0,261.4,1.0,5.0,779.3
3.0,2.0,33.6,3.0,1.0,32.2,2.0,1.0,199.4,2.0,1.0,275.3,2.0,1.0,118.7,2.0,1.0,235.5
3.0,4.0,156.4,3.0,4.0,100.2,2.0,4.0,532.4,2.0,3.0,835.9,2.0,3.0,343.2,2.0,3.0,627.7
3.0,5.0,105.8,3.0,5.0,46.6,2.0,5.0,289.1,2.0,5.0,363.3,2.0,4.0,493.3,2.0,4.0,1040.0
3.0,6.0,124.4,3.0,6.0,47.8,2.0,6.0,322.6,2.0,6.0,400.3,2.0,6.0,183.5,2.0,5.0,446.9
4.0,2.0,91.3,4.0,1.0,106.0,4.0,1.0,1716.0,3.0,1.0,2444.0,3.0,1.0,983.7,3.0,1.0,1772.0
4.0,3.0,244.4,4.0,3.0,231.4,4.0,2.0,1290.0,3.0,2.0,1967.0,3.0,2.0,695.4,3.0,2.0,1290.0
4.0,5.0,237.9,4.0,5.0,190.4,4.0,5.0,1943.0,3.0,5.0,2180.0,3.0,4.0,2016.0,3.0,4.0,3044.0
4.0,6.0,333.3,4.0,6.0,166.6,4.0,6.0,1991.0,3.0,6.0,1898.0,3.0,6.0,1260.0,3.0,5.0,2180.0
5.0,2.0,39.4,5.0,1.0,30.8,5.0,1.0,810.7,5.0,1.0,698.4,4.0,1.0,1250.0,4.0,1.0,2880.0
5.0,3.0,133.3,5.0,3.0,75.9,5.0,2.0,578.2,5.0,2.0,528.9,4.0,2.0,911.5,4.0,2.0,1522.0
5.0,4.0,241.1,5.0,4.0,185.2,5.0,4.0,1943.0,5.0,3.0,1753.0,4.0,3.0,2180.0,4.0,3.0,3163.0
5.0,6.0,119.7,5.0,6.0,53.3,5.0,6.0,1231.0,5.0,6.0,663.9,4.0,6.0,1241.0,4.0,5.0,2830.0
6.0,2.0,61.9,6.0,1.0,38.6,6.0,1.0,1097.0,6.0,1.0,1344.0,6.0,1.0,361.7,5.0,1.0,862.7
6.0,3.0,184.1,6.0,3.0,96.6,6.0,2.0,757.4,6.0,2.0,932.5,6.0,2.0,276.7,5.0,2.0,556.3
6.0,4.0,444.4,6.0,4.0,211.7,6.0,4.0,2734.0,6.0,3.0,3163.0,6.0,3.0,844.6,5.0,3.0,2095.0
6.0,5.0,185.2,6.0,5.0,73.8,6.0,5.0,1943.0,6.0,5.0,1290.0,6.0,4.0,1014.0,5.0,4.0,2304.0
