1,渡邉　真奈美,渡邉　真奈美.1,2,黒野 元基,黒野 元基.1,3,佐々木　和伸,佐々木　和伸.1,4,村上 彰一,村上 彰一.1,5,森 智也,森 智也.1,6,沢田 昭宏,沢田 昭宏.1
2.0,3.0,9.5,1.0,3.0,8.5,1.0,2.0,45.8,1.0,2.0,165.8,1.0,2.0,279.4,1.0,2.0,1264.0
2.0,4.0,19.5,1.0,4.0,17.1,1.0,4.0,80.7,1.0,3.0,297.8,1.0,3.0,394.9,1.0,3.0,2148.0
2.0,5.0,22.5,1.0,5.0,20.3,1.0,5.0,83.9,1.0,5.0,294.7,1.0,4.0,584.3,1.0,4.0,2407.0
2.0,6.0,76.9,1.0,6.0,63.4,1.0,6.0,197.6,1.0,6.0,512.3,1.0,6.0,609.2,1.0,5.0,1800.0
3.0,2.0,17.7,3.0,1.0,11.4,2.0,1.0,36.6,2.0,1.0,157.8,2.0,1.0,275.2,2.0,1.0,1679.0
3.0,4.0,42.9,3.0,4.0,15.9,2.0,4.0,45.6,2.0,3.0,131.1,2.0,3.0,209.9,2.0,3.0,984.4
3.0,5.0,46.7,3.0,5.0,16.6,2.0,5.0,42.2,2.0,5.0,122.5,2.0,4.0,351.8,2.0,4.0,1585.0
3.0,6.0,139.9,3.0,6.0,44.4,2.0,6.0,90.8,2.0,6.0,255.2,2.0,6.0,416.3,2.0,5.0,1885.0
4.0,2.0,65.1,4.0,1.0,50.3,4.0,1.0,160.3,3.0,1.0,385.7,3.0,1.0,503.3,3.0,1.0,2854.0
4.0,3.0,95.5,4.0,3.0,39.2,4.0,2.0,89.2,3.0,2.0,186.0,3.0,2.0,260.2,3.0,2.0,1175.0
4.0,5.0,139.8,4.0,5.0,59.0,4.0,5.0,141.7,3.0,5.0,241.6,3.0,4.0,587.7,3.0,4.0,2896.0
4.0,6.0,284.2,4.0,6.0,114.5,4.0,6.0,318.7,3.0,6.0,541.5,3.0,6.0,632.3,3.0,5.0,2529.0
5.0,2.0,71.0,5.0,1.0,68.0,5.0,1.0,178.2,5.0,1.0,314.6,4.0,1.0,689.0,4.0,1.0,3505.0
5.0,3.0,103.9,5.0,3.0,49.3,5.0,2.0,105.3,5.0,2.0,183.6,4.0,2.0,392.6,4.0,2.0,2270.0
5.0,4.0,193.8,5.0,4.0,85.3,5.0,4.0,201.0,5.0,3.0,231.0,4.0,3.0,592.9,4.0,3.0,3171.0
5.0,6.0,281.0,5.0,6.0,139.2,5.0,6.0,264.3,5.0,6.0,325.4,4.0,6.0,716.2,4.0,5.0,2737.0
6.0,2.0,365.9,6.0,1.0,268.9,6.0,1.0,691.4,6.0,1.0,1004.0,6.0,1.0,1417.0,5.0,1.0,2561.0
6.0,3.0,487.3,6.0,3.0,185.5,6.0,2.0,333.6,6.0,2.0,708.6,6.0,2.0,999.1,5.0,2.0,2103.0
6.0,4.0,754.0,6.0,4.0,305.5,6.0,4.0,777.5,6.0,3.0,1110.0,6.0,3.0,1537.0,5.0,3.0,2775.0
6.0,5.0,653.0,6.0,5.0,255.5,6.0,5.0,668.3,6.0,5.0,836.1,6.0,4.0,1833.0,5.0,4.0,2737.0
