1,北川 敏弘,北川 敏弘.1,2,中村 辰也,中村 辰也.1,3,服部 達哉,服部 達哉.1,4,佐藤　謙史朗,佐藤　謙史朗.1,5,守屋 大地,守屋 大地.1,6,高倉 和士,高倉 和士.1
2.0,3.0,56.9,1.0,3.0,57.2,1.0,2.0,212.4,1.0,2.0,61.5,1.0,2.0,356.5,1.0,2.0,88.0
2.0,4.0,45.2,1.0,4.0,46.6,1.0,4.0,278.7,1.0,3.0,155.6,1.0,3.0,664.1,1.0,3.0,165.1
2.0,5.0,130.3,1.0,5.0,117.8,1.0,5.0,395.5,1.0,5.0,82.7,1.0,4.0,262.5,1.0,4.0,85.7
2.0,6.0,36.3,1.0,6.0,33.9,1.0,6.0,155.1,1.0,6.0,33.0,1.0,6.0,208.3,1.0,5.0,197.5
3.0,2.0,73.6,3.0,1.0,81.8,2.0,1.0,186.0,2.0,1.0,62.7,2.0,1.0,460.6,2.0,1.0,81.9
3.0,4.0,103.8,3.0,4.0,64.7,2.0,4.0,129.4,2.0,3.0,93.5,2.0,3.0,657.4,2.0,3.0,73.4
3.0,5.0,209.3,3.0,5.0,161.9,2.0,5.0,289.9,2.0,5.0,65.4,2.0,4.0,259.6,2.0,4.0,40.9
3.0,6.0,68.5,3.0,6.0,43.5,2.0,6.0,81.5,2.0,6.0,22.9,2.0,6.0,201.0,2.0,5.0,160.2
4.0,2.0,53.7,4.0,1.0,57.6,4.0,1.0,341.5,3.0,1.0,215.2,3.0,1.0,925.2,3.0,1.0,217.9
4.0,3.0,97.0,4.0,3.0,70.0,4.0,2.0,202.6,3.0,2.0,165.9,3.0,2.0,944.1,3.0,2.0,114.9
4.0,5.0,148.0,4.0,5.0,105.9,4.0,5.0,431.3,3.0,5.0,297.6,3.0,4.0,847.9,3.0,4.0,154.6
4.0,6.0,33.0,4.0,6.0,25.6,4.0,6.0,148.3,3.0,6.0,92.5,3.0,6.0,615.1,3.0,5.0,375.0
5.0,2.0,275.6,5.0,1.0,221.0,5.0,1.0,664.1,5.0,1.0,65.1,4.0,1.0,173.5,4.0,1.0,66.4
5.0,3.0,382.9,5.0,3.0,316.8,5.0,2.0,619.7,5.0,2.0,58.5,4.0,2.0,160.8,4.0,2.0,43.1
5.0,4.0,275.4,5.0,4.0,183.3,5.0,4.0,672.4,5.0,3.0,169.5,4.0,3.0,476.2,4.0,3.0,109.9
5.0,6.0,182.5,5.0,6.0,120.8,5.0,6.0,406.4,5.0,6.0,25.7,4.0,6.0,78.7,4.0,5.0,68.1
6.0,2.0,62.5,6.0,1.0,51.4,6.0,1.0,201.2,6.0,1.0,24.8,6.0,1.0,240.2,5.0,1.0,272.4
6.0,3.0,90.1,6.0,3.0,51.6,6.0,2.0,127.1,6.0,2.0,19.2,6.0,2.0,185.9,5.0,2.0,244.9
6.0,4.0,58.9,6.0,4.0,32.0,6.0,4.0,175.8,6.0,3.0,55.5,6.0,3.0,408.5,5.0,3.0,372.0
6.0,5.0,155.0,6.0,5.0,101.7,6.0,5.0,334.4,6.0,5.0,23.5,6.0,4.0,115.0,5.0,4.0,112.7
