1,若林 将,若林 将.1,2,庄司 孝輔,庄司 孝輔.1,3,岡崎 恭裕,岡崎 恭裕.1,4,早川 尚人,早川 尚人.1,5,大田 直弥,大田 直弥.1,6,若林 義人,若林 義人.1
2.0,3.0,10.0,1.0,3.0,54.4,1.0,2.0,28.0,1.0,2.0,564.3,1.0,2.0,809.1,1.0,2.0,67.4
2.0,4.0,35.3,1.0,4.0,152.9,1.0,4.0,44.3,1.0,3.0,428.7,1.0,3.0,493.8,1.0,3.0,45.3
2.0,5.0,48.0,1.0,5.0,195.8,1.0,5.0,48.9,1.0,5.0,769.0,1.0,4.0,1228.0,1.0,4.0,171.7
2.0,6.0,18.2,1.0,6.0,75.4,1.0,6.0,18.2,1.0,6.0,383.7,1.0,6.0,606.8,1.0,5.0,221.4
3.0,2.0,7.1,3.0,1.0,96.2,2.0,1.0,75.9,2.0,1.0,846.5,2.0,1.0,1481.0,2.0,1.0,111.4
3.0,4.0,14.7,3.0,4.0,371.7,2.0,4.0,223.1,2.0,3.0,1334.0,2.0,3.0,1460.0,2.0,3.0,140.1
3.0,5.0,18.1,3.0,5.0,405.4,2.0,5.0,279.0,2.0,5.0,1409.0,2.0,4.0,2035.0,2.0,4.0,479.7
3.0,6.0,6.5,3.0,6.0,139.3,2.0,6.0,90.1,2.0,6.0,1060.0,2.0,6.0,1799.0,2.0,5.0,565.9
4.0,2.0,71.5,4.0,1.0,479.7,4.0,1.0,137.7,3.0,1.0,428.7,3.0,1.0,462.1,3.0,1.0,58.6
4.0,3.0,50.6,4.0,3.0,639.6,4.0,2.0,305.7,3.0,2.0,1251.0,3.0,2.0,891.5,3.0,2.0,125.8
4.0,5.0,135.0,4.0,5.0,1083.0,4.0,5.0,354.7,3.0,5.0,1243.0,3.0,4.0,1752.0,3.0,4.0,236.7
4.0,6.0,62.7,4.0,6.0,608.7,4.0,6.0,154.1,3.0,6.0,614.2,3.0,6.0,639.6,3.0,5.0,303.4
5.0,2.0,129.9,5.0,1.0,787.0,5.0,1.0,180.0,5.0,1.0,1012.0,4.0,1.0,1599.0,4.0,1.0,421.5
5.0,3.0,78.3,5.0,3.0,879.8,5.0,2.0,333.5,5.0,2.0,1651.0,4.0,2.0,2550.0,4.0,2.0,829.1
5.0,4.0,209.8,5.0,4.0,1380.0,5.0,4.0,398.9,5.0,3.0,1380.0,4.0,3.0,1848.0,4.0,3.0,618.0
5.0,6.0,104.4,5.0,6.0,1095.0,5.0,6.0,187.2,5.0,6.0,1077.0,4.0,6.0,1638.0,4.0,5.0,1157.0
6.0,2.0,27.3,6.0,1.0,171.9,6.0,1.0,38.7,6.0,1.0,502.4,6.0,1.0,1192.0,5.0,1.0,605.0
6.0,3.0,16.3,6.0,3.0,219.9,6.0,2.0,68.5,6.0,2.0,1012.0,6.0,2.0,1815.0,5.0,2.0,1178.0
6.0,4.0,66.1,6.0,4.0,740.7,6.0,4.0,149.1,6.0,3.0,732.6,6.0,3.0,1251.0,5.0,3.0,769.0
6.0,5.0,85.4,6.0,5.0,805.9,6.0,5.0,153.9,6.0,5.0,987.6,6.0,4.0,1736.0,5.0,4.0,1251.0
