1,松本 博昭,松本 博昭.1,2,新田 泰章,新田 泰章.1,3,黒崎 竜也,黒崎 竜也.1,4,岩永 雅人,岩永 雅人.1,5,田中 京介,田中 京介.1,6,松尾 充,松尾 充.1
2.0,3.0,6.6,1.0,3.0,25.4,1.0,2.0,25.4,1.0,2.0,207.8,1.0,2.0,207.7,1.0,2.0,1110.0
2.0,4.0,14.0,1.0,4.0,43.6,1.0,4.0,27.5,1.0,3.0,172.6,1.0,3.0,158.0,1.0,3.0,849.1
2.0,5.0,22.3,1.0,5.0,60.4,1.0,5.0,37.3,1.0,5.0,207.0,1.0,4.0,249.9,1.0,4.0,1817.0
2.0,6.0,35.9,1.0,6.0,86.1,1.0,6.0,52.9,1.0,6.0,274.2,1.0,6.0,271.8,1.0,5.0,1685.0
3.0,2.0,7.5,3.0,1.0,55.5,2.0,1.0,56.7,2.0,1.0,310.7,2.0,1.0,306.0,2.0,1.0,1488.0
3.0,4.0,10.2,3.0,4.0,102.2,2.0,4.0,89.8,2.0,3.0,387.5,2.0,3.0,351.5,2.0,3.0,1660.0
3.0,5.0,17.1,3.0,5.0,151.0,2.0,5.0,114.4,2.0,5.0,482.9,2.0,4.0,485.7,2.0,4.0,2357.0
3.0,6.0,28.9,3.0,6.0,209.6,2.0,6.0,172.4,2.0,6.0,596.1,2.0,6.0,557.6,2.0,5.0,2654.0
4.0,2.0,37.8,4.0,1.0,155.0,4.0,1.0,64.4,3.0,1.0,216.7,3.0,1.0,235.4,3.0,1.0,906.2
4.0,3.0,34.1,4.0,3.0,202.1,4.0,2.0,99.5,3.0,2.0,326.9,3.0,2.0,358.4,3.0,2.0,1737.0
4.0,5.0,65.9,4.0,5.0,329.7,4.0,5.0,79.0,3.0,5.0,286.4,3.0,4.0,359.0,3.0,4.0,1694.0
4.0,6.0,85.5,4.0,6.0,393.1,4.0,6.0,105.5,3.0,6.0,331.6,3.0,6.0,371.6,3.0,5.0,1837.0
5.0,2.0,54.9,5.0,1.0,223.7,5.0,1.0,92.4,5.0,1.0,263.0,4.0,1.0,338.1,4.0,1.0,2061.0
5.0,3.0,43.7,5.0,3.0,264.4,5.0,2.0,161.0,5.0,2.0,387.2,4.0,2.0,485.0,4.0,2.0,2325.0
5.0,4.0,89.4,5.0,4.0,382.8,5.0,4.0,121.0,5.0,3.0,334.1,4.0,3.0,421.1,4.0,3.0,1827.0
5.0,6.0,111.4,5.0,6.0,497.9,5.0,6.0,145.8,5.0,6.0,334.7,4.0,6.0,446.5,4.0,5.0,2341.0
6.0,2.0,159.4,6.0,1.0,485.7,6.0,1.0,250.5,6.0,1.0,609.0,6.0,1.0,605.2,5.0,1.0,1965.0
6.0,3.0,147.1,6.0,3.0,572.8,6.0,2.0,385.7,6.0,2.0,845.9,6.0,2.0,809.4,5.0,2.0,2408.0
6.0,4.0,253.4,6.0,4.0,784.0,6.0,4.0,331.4,6.0,3.0,686.6,6.0,3.0,661.0,5.0,3.0,1774.0
6.0,5.0,284.0,6.0,5.0,896.6,6.0,5.0,341.5,6.0,5.0,700.1,6.0,4.0,749.1,5.0,4.0,2293.0
