1,中辻 崇人,中辻 崇人.1,2,樋口　由加里,樋口　由加里.1,3,竹田 吉行,竹田 吉行.1,4,坂井 滉哉,坂井 滉哉.1,5,片橋 幸貴,片橋 幸貴.1,6,堀之内紀代子,堀之内紀代子.1
2.0,3.0,10.0,1.0,3.0,116.0,1.0,2.0,140.1,1.0,2.0,181.3,1.0,2.0,156.1,1.0,2.0,59.2
2.0,4.0,22.6,1.0,4.0,175.9,1.0,4.0,116.9,1.0,3.0,155.3,1.0,3.0,135.0,1.0,3.0,60.3
2.0,5.0,14.1,1.0,5.0,146.9,1.0,5.0,92.5,1.0,5.0,120.1,1.0,4.0,166.5,1.0,4.0,93.8
2.0,6.0,32.7,1.0,6.0,186.0,1.0,6.0,128.0,1.0,6.0,156.2,1.0,6.0,133.5,1.0,5.0,73.8
3.0,2.0,9.6,3.0,1.0,311.0,2.0,1.0,332.7,2.0,1.0,466.2,2.0,1.0,372.7,2.0,1.0,130.3
3.0,4.0,11.6,3.0,4.0,874.1,2.0,4.0,832.5,2.0,3.0,929.9,2.0,3.0,671.1,2.0,3.0,230.1
3.0,5.0,8.8,3.0,5.0,631.1,2.0,5.0,678.9,2.0,5.0,552.4,2.0,4.0,898.9,2.0,4.0,330.8
3.0,6.0,21.9,3.0,6.0,809.4,2.0,6.0,787.5,2.0,6.0,645.1,2.0,6.0,648.7,2.0,5.0,261.7
4.0,2.0,32.3,4.0,1.0,625.5,4.0,1.0,233.8,3.0,1.0,292.1,3.0,1.0,277.2,3.0,1.0,165.1
4.0,3.0,23.5,4.0,3.0,1266.0,4.0,2.0,709.2,3.0,2.0,861.2,3.0,2.0,747.1,3.0,2.0,312.7
4.0,5.0,28.6,4.0,5.0,1205.0,4.0,5.0,401.4,3.0,5.0,457.0,3.0,4.0,656.0,3.0,4.0,352.4
4.0,6.0,46.2,4.0,6.0,1043.0,4.0,6.0,493.8,3.0,6.0,628.9,3.0,6.0,755.2,3.0,5.0,360.4
5.0,2.0,21.9,5.0,1.0,434.3,5.0,1.0,215.9,5.0,1.0,161.2,4.0,1.0,236.5,4.0,1.0,269.6
5.0,3.0,15.5,5.0,3.0,791.1,5.0,2.0,596.7,5.0,2.0,331.4,4.0,2.0,521.9,4.0,2.0,491.1
5.0,4.0,31.7,5.0,4.0,1324.0,5.0,4.0,498.8,5.0,3.0,345.8,4.0,3.0,565.8,4.0,3.0,447.7
5.0,6.0,36.3,5.0,6.0,922.6,5.0,6.0,481.6,5.0,6.0,233.2,4.0,6.0,407.0,4.0,5.0,426.4
6.0,2.0,44.4,6.0,1.0,438.1,6.0,1.0,354.9,6.0,1.0,293.8,6.0,1.0,271.9,5.0,1.0,177.4
6.0,3.0,39.5,6.0,3.0,955.3,6.0,2.0,905.8,6.0,2.0,539.6,6.0,2.0,633.4,5.0,2.0,343.8
6.0,4.0,65.4,6.0,4.0,1082.0,6.0,4.0,840.5,6.0,3.0,579.8,6.0,3.0,607.0,5.0,3.0,372.7
6.0,5.0,52.8,6.0,5.0,1010.0,6.0,5.0,720.9,6.0,5.0,371.5,6.0,4.0,567.6,5.0,4.0,432.7
