1,平川 香織,平川 香織.1,2,加藤 綾,加藤 綾.1,3,刑部　亜里紗,刑部　亜里紗.1,4,土屋　実沙希,土屋　実沙希.1,5,藤田 美代,藤田 美代.1,6,平高 奈菜,平高 奈菜.1
2.0,3.0,48.4,1.0,3.0,172.1,1.0,2.0,65.3,1.0,2.0,160.5,1.0,2.0,646.7,1.0,2.0,369.2
2.0,4.0,48.8,1.0,4.0,195.4,1.0,4.0,13.7,1.0,3.0,48.3,1.0,3.0,446.4,1.0,3.0,122.3
2.0,5.0,158.8,1.0,5.0,461.8,1.0,5.0,50.7,1.0,5.0,128.9,1.0,4.0,696.4,1.0,4.0,175.0
2.0,6.0,61.6,1.0,6.0,237.5,1.0,6.0,16.7,1.0,6.0,44.0,1.0,6.0,578.6,1.0,5.0,559.6
3.0,2.0,29.5,3.0,1.0,288.8,2.0,1.0,202.9,2.0,1.0,352.8,2.0,1.0,1041.0,2.0,1.0,670.3
3.0,4.0,8.3,3.0,4.0,365.9,2.0,4.0,186.8,2.0,3.0,414.9,2.0,3.0,1401.0,2.0,3.0,808.6
3.0,5.0,45.4,3.0,5.0,702.7,2.0,5.0,309.3,2.0,5.0,563.2,2.0,4.0,1478.0,2.0,4.0,894.6
3.0,6.0,10.2,3.0,6.0,382.8,2.0,6.0,174.9,2.0,6.0,277.0,2.0,6.0,1381.0,2.0,5.0,1379.0
4.0,2.0,43.6,4.0,1.0,373.5,4.0,1.0,21.0,3.0,1.0,46.7,3.0,1.0,467.1,3.0,1.0,149.8
4.0,3.0,15.9,4.0,3.0,443.3,4.0,2.0,101.0,3.0,2.0,204.4,3.0,2.0,1067.0,3.0,2.0,513.5
4.0,5.0,70.4,4.0,5.0,974.6,4.0,5.0,47.3,3.0,5.0,102.4,3.0,4.0,518.0,3.0,4.0,151.4
4.0,6.0,17.9,4.0,6.0,405.0,4.0,6.0,18.1,3.0,6.0,39.0,3.0,6.0,536.8,3.0,5.0,497.0
5.0,2.0,284.3,5.0,1.0,963.8,5.0,1.0,132.1,5.0,1.0,251.7,4.0,1.0,881.1,4.0,1.0,211.9
5.0,3.0,190.4,5.0,3.0,1184.0,5.0,2.0,300.6,5.0,2.0,527.4,4.0,2.0,1497.0,4.0,2.0,633.8
5.0,4.0,209.8,5.0,4.0,1371.0,5.0,4.0,118.5,5.0,3.0,225.1,4.0,3.0,664.6,4.0,3.0,178.2
5.0,6.0,187.0,5.0,6.0,1314.0,5.0,6.0,117.6,5.0,6.0,170.2,4.0,6.0,652.8,4.0,5.0,559.1
6.0,2.0,90.5,6.0,1.0,485.6,6.0,1.0,34.2,6.0,1.0,55.8,6.0,1.0,971.9,5.0,1.0,978.7
6.0,3.0,31.0,6.0,3.0,629.2,6.0,2.0,155.9,6.0,2.0,228.2,6.0,2.0,1487.0,5.0,2.0,1500.0
6.0,4.0,38.1,6.0,4.0,669.0,6.0,4.0,31.5,6.0,3.0,61.9,6.0,3.0,795.7,5.0,3.0,953.3
6.0,5.0,159.4,6.0,5.0,1297.0,6.0,5.0,99.5,6.0,5.0,136.6,6.0,4.0,852.0,5.0,4.0,924.3
