1,岸 恵子,岸 恵子.1,2,松本 晶恵,松本 晶恵.1,3,大瀧　明日香,大瀧　明日香.1,4,魚谷 香織,魚谷 香織.1,5,奥村　明日香,奥村　明日香.1,6,松瀬 弘美,松瀬 弘美.1
2.0,3.0,8.9,1.0,3.0,27.0,1.0,2.0,82.7,1.0,2.0,35.6,1.0,2.0,172.9,1.0,2.0,1145.0
2.0,4.0,8.1,1.0,4.0,22.4,1.0,4.0,64.9,1.0,3.0,48.5,1.0,3.0,291.6,1.0,3.0,1430.0
2.0,5.0,22.7,1.0,5.0,47.9,1.0,5.0,161.6,1.0,5.0,49.2,1.0,4.0,175.1,1.0,4.0,994.5
2.0,6.0,47.0,1.0,6.0,100.8,1.0,6.0,280.0,1.0,6.0,96.2,1.0,6.0,274.1,1.0,5.0,1176.0
3.0,2.0,14.7,3.0,1.0,72.8,2.0,1.0,133.5,2.0,1.0,66.9,2.0,1.0,276.6,2.0,1.0,1545.0
3.0,4.0,13.7,3.0,4.0,83.8,2.0,4.0,135.8,2.0,3.0,105.4,2.0,3.0,555.5,2.0,3.0,1964.0
3.0,5.0,36.0,3.0,5.0,205.0,2.0,5.0,367.2,2.0,5.0,129.3,2.0,4.0,362.1,2.0,4.0,1476.0
3.0,6.0,79.4,3.0,6.0,296.1,2.0,6.0,472.9,2.0,6.0,207.9,2.0,6.0,467.7,2.0,5.0,1923.0
4.0,2.0,11.8,4.0,1.0,55.3,4.0,1.0,98.5,3.0,1.0,95.9,3.0,1.0,524.2,3.0,1.0,2138.0
4.0,3.0,16.7,4.0,3.0,85.1,4.0,2.0,131.8,3.0,2.0,117.4,3.0,2.0,886.3,3.0,2.0,2432.0
4.0,5.0,25.3,4.0,5.0,132.2,4.0,5.0,238.8,3.0,5.0,207.6,3.0,4.0,722.8,3.0,4.0,1873.0
4.0,6.0,56.2,4.0,6.0,224.3,4.0,6.0,338.6,3.0,6.0,286.5,3.0,6.0,1067.0,3.0,5.0,2482.0
5.0,2.0,48.6,5.0,1.0,171.6,5.0,1.0,374.8,5.0,1.0,67.4,4.0,1.0,211.4,4.0,1.0,1105.0
5.0,3.0,72.8,5.0,3.0,352.2,5.0,2.0,533.4,5.0,2.0,98.0,4.0,2.0,294.6,4.0,2.0,1370.0
5.0,4.0,54.6,5.0,4.0,229.7,5.0,4.0,440.7,5.0,3.0,162.7,4.0,3.0,473.2,4.0,3.0,1618.0
5.0,6.0,111.2,5.0,6.0,465.6,5.0,6.0,944.0,5.0,6.0,104.6,4.0,6.0,316.3,4.0,5.0,936.7
6.0,2.0,187.5,6.0,1.0,468.6,6.0,1.0,969.2,6.0,1.0,223.7,6.0,1.0,483.6,5.0,1.0,1204.0
6.0,3.0,247.2,6.0,3.0,660.3,6.0,2.0,1163.0,6.0,2.0,304.6,6.0,2.0,625.5,5.0,2.0,1542.0
6.0,4.0,187.8,6.0,4.0,514.5,6.0,4.0,907.4,6.0,3.0,386.2,6.0,3.0,917.7,5.0,3.0,1975.0
6.0,5.0,222.1,6.0,5.0,752.0,6.0,5.0,1413.0,6.0,5.0,208.6,6.0,4.0,482.7,5.0,4.0,902.8
