1,原田　才一郎,原田　才一郎.1,2,西丸　侑太朗,西丸　侑太朗.1,3,高橋 竜矢,高橋 竜矢.1,4,藤原 碧生,藤原 碧生.1,5,大場 恒季,大場 恒季.1,6,佐藤 航,佐藤 航.1
2.0,3.0,7.7,1.0,3.0,30.6,1.0,2.0,118.3,1.0,2.0,51.1,1.0,2.0,282.4,1.0,2.0,769.0
2.0,4.0,6.2,1.0,4.0,20.1,1.0,4.0,91.3,1.0,3.0,88.7,1.0,3.0,434.5,1.0,3.0,996.0
2.0,5.0,17.2,1.0,5.0,46.7,1.0,5.0,166.2,1.0,5.0,74.2,1.0,4.0,296.8,1.0,4.0,900.0
2.0,6.0,42.5,1.0,6.0,113.1,1.0,6.0,240.8,1.0,6.0,125.8,1.0,6.0,464.6,1.0,5.0,1290.0
3.0,2.0,11.9,3.0,1.0,123.6,2.0,1.0,263.4,2.0,1.0,99.3,2.0,1.0,465.0,2.0,1.0,1182.0
3.0,4.0,10.9,3.0,4.0,140.5,2.0,4.0,279.6,2.0,3.0,228.0,2.0,3.0,1089.0,2.0,3.0,2140.0
3.0,5.0,23.6,3.0,5.0,330.8,2.0,5.0,566.3,2.0,5.0,203.1,2.0,4.0,716.7,2.0,4.0,1594.0
3.0,6.0,45.5,3.0,6.0,577.6,2.0,6.0,900.0,2.0,6.0,317.7,2.0,6.0,1070.0,2.0,5.0,2478.0
4.0,2.0,10.4,4.0,1.0,63.5,4.0,1.0,194.9,3.0,1.0,216.8,3.0,1.0,878.8,3.0,1.0,1379.0
4.0,3.0,15.7,4.0,3.0,135.3,4.0,2.0,308.6,3.0,2.0,302.5,3.0,2.0,1557.0,3.0,2.0,2584.0
4.0,5.0,23.7,4.0,5.0,192.2,4.0,5.0,424.0,3.0,5.0,386.1,3.0,4.0,1393.0,3.0,4.0,2145.0
4.0,6.0,41.0,4.0,6.0,309.6,4.0,6.0,550.4,3.0,6.0,587.6,3.0,6.0,1886.0,3.0,5.0,2924.0
5.0,2.0,38.7,5.0,1.0,235.4,5.0,1.0,521.9,5.0,1.0,123.5,4.0,1.0,372.9,4.0,1.0,1061.0
5.0,3.0,52.9,5.0,3.0,623.0,5.0,2.0,840.2,5.0,2.0,174.1,4.0,2.0,555.0,4.0,2.0,1563.0
5.0,4.0,59.6,5.0,4.0,453.7,5.0,4.0,815.6,5.0,3.0,327.9,4.0,3.0,942.9,4.0,3.0,2099.0
5.0,6.0,99.5,5.0,6.0,822.9,5.0,6.0,1075.0,5.0,6.0,177.3,4.0,6.0,535.1,4.0,5.0,1656.0
6.0,2.0,144.6,6.0,1.0,615.3,6.0,1.0,759.8,6.0,1.0,313.1,6.0,1.0,969.6,5.0,1.0,1719.0
6.0,3.0,159.9,6.0,3.0,1390.0,6.0,2.0,1463.0,6.0,2.0,443.8,6.0,2.0,1328.0,5.0,2.0,2516.0
6.0,4.0,149.9,6.0,4.0,948.9,6.0,4.0,1196.0,6.0,3.0,685.3,6.0,3.0,1601.0,5.0,3.0,2633.0
6.0,5.0,203.0,6.0,5.0,1479.0,6.0,5.0,1514.0,6.0,5.0,367.6,6.0,4.0,999.1,5.0,4.0,1878.0
