1,尾嶋 一広,尾嶋 一広.1,2,高濱 芳久,高濱 芳久.1,3,吉島 祥之,吉島 祥之.1,4,眞鳥 康太,眞鳥 康太.1,5,花本 夏樹,花本 夏樹.1,6,梶野 学志,梶野 学志.1
2.0,3.0,10.8,1.0,3.0,119.3,1.0,2.0,115.8,1.0,2.0,113.4,1.0,2.0,568.2,1.0,2.0,191.3
2.0,4.0,13.5,1.0,4.0,131.1,1.0,4.0,68.0,1.0,3.0,99.2,1.0,3.0,560.4,1.0,3.0,159.9
2.0,5.0,31.5,1.0,5.0,294.4,1.0,5.0,139.6,1.0,5.0,111.7,1.0,4.0,409.7,1.0,4.0,218.5
2.0,6.0,16.5,1.0,6.0,158.8,1.0,6.0,77.3,1.0,6.0,73.1,1.0,6.0,448.4,1.0,5.0,309.5
3.0,2.0,10.0,3.0,1.0,294.4,2.0,1.0,259.6,2.0,1.0,300.5,2.0,1.0,1341.0,2.0,1.0,452.9
3.0,4.0,7.5,3.0,4.0,553.4,2.0,4.0,443.9,2.0,3.0,506.9,2.0,3.0,1808.0,2.0,3.0,707.8
3.0,5.0,23.5,3.0,5.0,1008.0,2.0,5.0,778.1,2.0,5.0,457.1,2.0,4.0,1567.0,2.0,4.0,796.1
3.0,6.0,9.4,3.0,6.0,718.0,2.0,6.0,526.0,2.0,6.0,353.0,2.0,6.0,1779.0,2.0,5.0,1279.0
4.0,2.0,19.0,4.0,1.0,411.2,4.0,1.0,187.2,3.0,1.0,217.2,3.0,1.0,1012.0,3.0,1.0,336.5
4.0,3.0,15.0,4.0,3.0,779.4,4.0,2.0,443.5,3.0,2.0,575.5,3.0,2.0,2495.0,3.0,2.0,852.3
4.0,5.0,27.5,4.0,5.0,1089.0,4.0,5.0,466.7,3.0,5.0,546.0,3.0,4.0,1636.0,3.0,4.0,816.5
4.0,6.0,15.0,4.0,6.0,694.6,4.0,6.0,297.9,3.0,6.0,281.2,3.0,6.0,1642.0,3.0,5.0,1184.0
5.0,2.0,69.5,5.0,1.0,1230.0,5.0,1.0,504.6,5.0,1.0,161.8,4.0,1.0,369.1,4.0,1.0,386.0
5.0,3.0,64.8,5.0,3.0,1751.0,5.0,2.0,1127.0,5.0,2.0,367.3,4.0,2.0,763.5,4.0,2.0,907.8
5.0,4.0,57.3,5.0,4.0,1845.0,5.0,4.0,877.5,5.0,3.0,566.0,4.0,3.0,1400.0,4.0,3.0,757.0
5.0,6.0,62.3,5.0,6.0,1950.0,5.0,6.0,728.6,5.0,6.0,175.4,4.0,6.0,489.2,4.0,5.0,917.1
6.0,2.0,30.8,6.0,1.0,591.5,6.0,1.0,234.0,6.0,1.0,128.1,6.0,1.0,900.5,5.0,1.0,1071.0
6.0,3.0,23.4,6.0,3.0,1265.0,6.0,2.0,618.6,6.0,2.0,330.1,6.0,2.0,1679.0,5.0,2.0,2255.0
6.0,4.0,31.4,6.0,4.0,1086.0,6.0,4.0,480.7,6.0,3.0,311.9,6.0,3.0,1583.0,5.0,3.0,1660.0
6.0,5.0,64.3,6.0,5.0,1830.0,6.0,5.0,790.5,6.0,5.0,228.1,6.0,4.0,1058.0,5.0,4.0,1540.0
